"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2016 00:00 - 01.01.2016 00:15","6197","6270"
"01.01.2016 00:15 - 01.01.2016 00:30","6166","6230"
"01.01.2016 00:30 - 01.01.2016 00:45","6120","6141"
"01.01.2016 00:45 - 01.01.2016 01:00","6067","6074"
"01.01.2016 01:00 - 01.01.2016 01:15","5931","6110"
"01.01.2016 01:15 - 01.01.2016 01:30","5859","6014"
"01.01.2016 01:30 - 01.01.2016 01:45","5813","5940"
"01.01.2016 01:45 - 01.01.2016 02:00","5764","5844"
"01.01.2016 02:00 - 01.01.2016 02:15","5751","5870"
"01.01.2016 02:15 - 01.01.2016 02:30","5715","5801"
"01.01.2016 02:30 - 01.01.2016 02:45","5672","5653"
"01.01.2016 02:45 - 01.01.2016 03:00","5629","5585"
"01.01.2016 03:00 - 01.01.2016 03:15","5514","5493"
"01.01.2016 03:15 - 01.01.2016 03:30","5488","5419"
"01.01.2016 03:30 - 01.01.2016 03:45","5473","5390"
"01.01.2016 03:45 - 01.01.2016 04:00","5459","5326"
"01.01.2016 04:00 - 01.01.2016 04:15","5427","5316"
"01.01.2016 04:15 - 01.01.2016 04:30","5432","5320"
"01.01.2016 04:30 - 01.01.2016 04:45","5433","5310"
"01.01.2016 04:45 - 01.01.2016 05:00","5439","5312"
"01.01.2016 05:00 - 01.01.2016 05:15","5567","5372"
"01.01.2016 05:15 - 01.01.2016 05:30","5584","5396"
"01.01.2016 05:30 - 01.01.2016 05:45","5604","5421"
"01.01.2016 05:45 - 01.01.2016 06:00","5614","5416"
"01.01.2016 06:00 - 01.01.2016 06:15","5638","5332"
"01.01.2016 06:15 - 01.01.2016 06:30","5672","5400"
"01.01.2016 06:30 - 01.01.2016 06:45","5698","5406"
"01.01.2016 06:45 - 01.01.2016 07:00","5769","5486"
"01.01.2016 07:00 - 01.01.2016 07:15","6038","5673"
"01.01.2016 07:15 - 01.01.2016 07:30","6125","5798"
"01.01.2016 07:30 - 01.01.2016 07:45","6160","5812"
"01.01.2016 07:45 - 01.01.2016 08:00","6202","5762"
"01.01.2016 08:00 - 01.01.2016 08:15","6390","5830"
"01.01.2016 08:15 - 01.01.2016 08:30","6429","5912"
"01.01.2016 08:30 - 01.01.2016 08:45","6451","5994"
"01.01.2016 08:45 - 01.01.2016 09:00","6498","6081"
"01.01.2016 09:00 - 01.01.2016 09:15","6677","6200"
"01.01.2016 09:15 - 01.01.2016 09:30","6717","6283"
"01.01.2016 09:30 - 01.01.2016 09:45","6762","6366"
"01.01.2016 09:45 - 01.01.2016 10:00","6793","6451"
"01.01.2016 10:00 - 01.01.2016 10:15","6883","6558"
"01.01.2016 10:15 - 01.01.2016 10:30","6914","6629"
"01.01.2016 10:30 - 01.01.2016 10:45","6938","6674"
"01.01.2016 10:45 - 01.01.2016 11:00","6963","6720"
"01.01.2016 11:00 - 01.01.2016 11:15","7000","6760"
"01.01.2016 11:15 - 01.01.2016 11:30","7020","6820"
"01.01.2016 11:30 - 01.01.2016 11:45","7015","6816"
"01.01.2016 11:45 - 01.01.2016 12:00","6957","6791"
"01.01.2016 12:00 - 01.01.2016 12:15","6841","6822"
"01.01.2016 12:15 - 01.01.2016 12:30","6770","6755"
"01.01.2016 12:30 - 01.01.2016 12:45","6719","6689"
"01.01.2016 12:45 - 01.01.2016 13:00","6672","6642"
"01.01.2016 13:00 - 01.01.2016 13:15","6511","6637"
"01.01.2016 13:15 - 01.01.2016 13:30","6454","6610"
"01.01.2016 13:30 - 01.01.2016 13:45","6418","6563"
"01.01.2016 13:45 - 01.01.2016 14:00","6384","6546"
"01.01.2016 14:00 - 01.01.2016 14:15","6322","6590"
"01.01.2016 14:15 - 01.01.2016 14:30","6300","6560"
"01.01.2016 14:30 - 01.01.2016 14:45","6297","6530"
"01.01.2016 14:45 - 01.01.2016 15:00","6287","6528"
"01.01.2016 15:00 - 01.01.2016 15:15","6286","6566"
"01.01.2016 15:15 - 01.01.2016 15:30","6281","6577"
"01.01.2016 15:30 - 01.01.2016 15:45","6294","6610"
"01.01.2016 15:45 - 01.01.2016 16:00","6324","6665"
"01.01.2016 16:00 - 01.01.2016 16:15","6500","6656"
"01.01.2016 16:15 - 01.01.2016 16:30","6590","6792"
"01.01.2016 16:30 - 01.01.2016 16:45","6681","6993"
"01.01.2016 16:45 - 01.01.2016 17:00","6766","7170"
"01.01.2016 17:00 - 01.01.2016 17:15","7048","7281"
"01.01.2016 17:15 - 01.01.2016 17:30","7093","7373"
"01.01.2016 17:30 - 01.01.2016 17:45","7122","7433"
"01.01.2016 17:45 - 01.01.2016 18:00","7129","7443"
"01.01.2016 18:00 - 01.01.2016 18:15","7186","7472"
"01.01.2016 18:15 - 01.01.2016 18:30","7155","7453"
"01.01.2016 18:30 - 01.01.2016 18:45","7126","7426"
"01.01.2016 18:45 - 01.01.2016 19:00","7116","7402"
"01.01.2016 19:00 - 01.01.2016 19:15","6913","7265"
"01.01.2016 19:15 - 01.01.2016 19:30","6886","7191"
"01.01.2016 19:30 - 01.01.2016 19:45","6855","7130"
"01.01.2016 19:45 - 01.01.2016 20:00","6817","7064"
"01.01.2016 20:00 - 01.01.2016 20:15","6635","6974"
"01.01.2016 20:15 - 01.01.2016 20:30","6569","6861"
"01.01.2016 20:30 - 01.01.2016 20:45","6548","6792"
"01.01.2016 20:45 - 01.01.2016 21:00","6515","6696"
"01.01.2016 21:00 - 01.01.2016 21:15","6371","6593"
"01.01.2016 21:15 - 01.01.2016 21:30","6308","6491"
"01.01.2016 21:30 - 01.01.2016 21:45","6250","6400"
"01.01.2016 21:45 - 01.01.2016 22:00","6242","6357"
"01.01.2016 22:00 - 01.01.2016 22:15","6570","6644"
"01.01.2016 22:15 - 01.01.2016 22:30","6555","6630"
"01.01.2016 22:30 - 01.01.2016 22:45","6509","6512"
"01.01.2016 22:45 - 01.01.2016 23:00","6457","6421"
"01.01.2016 23:00 - 01.01.2016 23:15","6302","6392"
"01.01.2016 23:15 - 01.01.2016 23:30","6226","6268"
"01.01.2016 23:30 - 01.01.2016 23:45","6166","6129"
"01.01.2016 23:45 - 02.01.2016 00:00","6145","6069"
"02.01.2016 00:00 - 02.01.2016 00:15","6060","6152"
"02.01.2016 00:15 - 02.01.2016 00:30","6060","6027"
"02.01.2016 00:30 - 02.01.2016 00:45","6004","5914"
"02.01.2016 00:45 - 02.01.2016 01:00","5956","5808"
"02.01.2016 01:00 - 02.01.2016 01:15","5841","5806"
"02.01.2016 01:15 - 02.01.2016 01:30","5775","5728"
"02.01.2016 01:30 - 02.01.2016 01:45","5729","5626"
"02.01.2016 01:45 - 02.01.2016 02:00","5684","5561"
"02.01.2016 02:00 - 02.01.2016 02:15","5698","5624"
"02.01.2016 02:15 - 02.01.2016 02:30","5654","5560"
"02.01.2016 02:30 - 02.01.2016 02:45","5622","5492"
"02.01.2016 02:45 - 02.01.2016 03:00","5582","5448"
"02.01.2016 03:00 - 02.01.2016 03:15","5470","5377"
"02.01.2016 03:15 - 02.01.2016 03:30","5444","5384"
"02.01.2016 03:30 - 02.01.2016 03:45","5446","5369"
"02.01.2016 03:45 - 02.01.2016 04:00","5444","5387"
"02.01.2016 04:00 - 02.01.2016 04:15","5446","5429"
"02.01.2016 04:15 - 02.01.2016 04:30","5459","5434"
"02.01.2016 04:30 - 02.01.2016 04:45","5470","5471"
"02.01.2016 04:45 - 02.01.2016 05:00","5483","5513"
"02.01.2016 05:00 - 02.01.2016 05:15","5629","5688"
"02.01.2016 05:15 - 02.01.2016 05:30","5676","5738"
"02.01.2016 05:30 - 02.01.2016 05:45","5707","5805"
"02.01.2016 05:45 - 02.01.2016 06:00","5725","5907"
"02.01.2016 06:00 - 02.01.2016 06:15","5843","5953"
"02.01.2016 06:15 - 02.01.2016 06:30","5910","6027"
"02.01.2016 06:30 - 02.01.2016 06:45","5961","6152"
"02.01.2016 06:45 - 02.01.2016 07:00","6048","6232"
"02.01.2016 07:00 - 02.01.2016 07:15","6356","6517"
"02.01.2016 07:15 - 02.01.2016 07:30","6453","6671"
"02.01.2016 07:30 - 02.01.2016 07:45","6490","6803"
"02.01.2016 07:45 - 02.01.2016 08:00","6542","6867"
"02.01.2016 08:00 - 02.01.2016 08:15","6750","7005"
"02.01.2016 08:15 - 02.01.2016 08:30","6815","7106"
"02.01.2016 08:30 - 02.01.2016 08:45","6868","7254"
"02.01.2016 08:45 - 02.01.2016 09:00","6925","7363"
"02.01.2016 09:00 - 02.01.2016 09:15","7108","7484"
"02.01.2016 09:15 - 02.01.2016 09:30","7133","7532"
"02.01.2016 09:30 - 02.01.2016 09:45","7162","7565"
"02.01.2016 09:45 - 02.01.2016 10:00","7185","7598"
"02.01.2016 10:00 - 02.01.2016 10:15","7302","7646"
"02.01.2016 10:15 - 02.01.2016 10:30","7335","7715"
"02.01.2016 10:30 - 02.01.2016 10:45","7362","7759"
"02.01.2016 10:45 - 02.01.2016 11:00","7381","7807"
"02.01.2016 11:00 - 02.01.2016 11:15","7415","7830"
"02.01.2016 11:15 - 02.01.2016 11:30","7438","7894"
"02.01.2016 11:30 - 02.01.2016 11:45","7436","7902"
"02.01.2016 11:45 - 02.01.2016 12:00","7393","7856"
"02.01.2016 12:00 - 02.01.2016 12:15","7294","7810"
"02.01.2016 12:15 - 02.01.2016 12:30","7242","7707"
"02.01.2016 12:30 - 02.01.2016 12:45","7209","7648"
"02.01.2016 12:45 - 02.01.2016 13:00","7190","7599"
"02.01.2016 13:00 - 02.01.2016 13:15","7166","7766"
"02.01.2016 13:15 - 02.01.2016 13:30","7130","7738"
"02.01.2016 13:30 - 02.01.2016 13:45","7114","7697"
"02.01.2016 13:45 - 02.01.2016 14:00","7092","7653"
"02.01.2016 14:00 - 02.01.2016 14:15","7034","7559"
"02.01.2016 14:15 - 02.01.2016 14:30","7037","7522"
"02.01.2016 14:30 - 02.01.2016 14:45","7066","7586"
"02.01.2016 14:45 - 02.01.2016 15:00","7055","7562"
"02.01.2016 15:00 - 02.01.2016 15:15","7096","7598"
"02.01.2016 15:15 - 02.01.2016 15:30","7080","7643"
"02.01.2016 15:30 - 02.01.2016 15:45","7103","7671"
"02.01.2016 15:45 - 02.01.2016 16:00","7114","7742"
"02.01.2016 16:00 - 02.01.2016 16:15","7293","7727"
"02.01.2016 16:15 - 02.01.2016 16:30","7377","7800"
"02.01.2016 16:30 - 02.01.2016 16:45","7458","7916"
"02.01.2016 16:45 - 02.01.2016 17:00","7538","8005"
"02.01.2016 17:00 - 02.01.2016 17:15","7738","8027"
"02.01.2016 17:15 - 02.01.2016 17:30","7762","8055"
