"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2017 00:00 - 01.01.2017 00:15","6511","6654"
"01.01.2017 00:15 - 01.01.2017 00:30","6415","6628"
"01.01.2017 00:30 - 01.01.2017 00:45","6355","6576"
"01.01.2017 00:45 - 01.01.2017 01:00","6298","6430"
"01.01.2017 01:00 - 01.01.2017 01:15","6166","6438"
"01.01.2017 01:15 - 01.01.2017 01:30","6095","6344"
"01.01.2017 01:30 - 01.01.2017 01:45","6057","6287"
"01.01.2017 01:45 - 01.01.2017 02:00","6004","6192"
"01.01.2017 02:00 - 01.01.2017 02:15","6002","6220"
"01.01.2017 02:15 - 01.01.2017 02:30","5949","6149"
"01.01.2017 02:30 - 01.01.2017 02:45","5908","6051"
"01.01.2017 02:45 - 01.01.2017 03:00","5859","5985"
"01.01.2017 03:00 - 01.01.2017 03:15","5812","5922"
"01.01.2017 03:15 - 01.01.2017 03:30","5728","5857"
"01.01.2017 03:30 - 01.01.2017 03:45","5694","5791"
"01.01.2017 03:45 - 01.01.2017 04:00","5671","5752"
"01.01.2017 04:00 - 01.01.2017 04:15","5682","5709"
"01.01.2017 04:15 - 01.01.2017 04:30","5672","5720"
"01.01.2017 04:30 - 01.01.2017 04:45","5714","5704"
"01.01.2017 04:45 - 01.01.2017 05:00","5676","5727"
"01.01.2017 05:00 - 01.01.2017 05:15","5785","5796"
"01.01.2017 05:15 - 01.01.2017 05:30","5804","5814"
"01.01.2017 05:30 - 01.01.2017 05:45","5786","5833"
"01.01.2017 05:45 - 01.01.2017 06:00","5792","5830"
"01.01.2017 06:00 - 01.01.2017 06:15","5781","5724"
"01.01.2017 06:15 - 01.01.2017 06:30","5783","5747"
"01.01.2017 06:30 - 01.01.2017 06:45","5814","5786"
"01.01.2017 06:45 - 01.01.2017 07:00","5861","5840"
"01.01.2017 07:00 - 01.01.2017 07:15","6216","6068"
"01.01.2017 07:15 - 01.01.2017 07:30","6240","6148"
"01.01.2017 07:30 - 01.01.2017 07:45","6266","6206"
"01.01.2017 07:45 - 01.01.2017 08:00","6327","6248"
"01.01.2017 08:00 - 01.01.2017 08:15","6496","6304"
"01.01.2017 08:15 - 01.01.2017 08:30","6593","6367"
"01.01.2017 08:30 - 01.01.2017 08:45","6631","6436"
"01.01.2017 08:45 - 01.01.2017 09:00","6691","6515"
"01.01.2017 09:00 - 01.01.2017 09:15","6857","6591"
"01.01.2017 09:15 - 01.01.2017 09:30","6938","6654"
"01.01.2017 09:30 - 01.01.2017 09:45","6968","6705"
"01.01.2017 09:45 - 01.01.2017 10:00","7010","6760"
"01.01.2017 10:00 - 01.01.2017 10:15","7078","6829"
"01.01.2017 10:15 - 01.01.2017 10:30","7094","6866"
"01.01.2017 10:30 - 01.01.2017 10:45","7119","6910"
"01.01.2017 10:45 - 01.01.2017 11:00","7150","6967"
"01.01.2017 11:00 - 01.01.2017 11:15","7194","6978"
"01.01.2017 11:15 - 01.01.2017 11:30","7168","7018"
"01.01.2017 11:30 - 01.01.2017 11:45","7166","7000"
"01.01.2017 11:45 - 01.01.2017 12:00","7168","6966"
"01.01.2017 12:00 - 01.01.2017 12:15","7062","7002"
"01.01.2017 12:15 - 01.01.2017 12:30","6989","6920"
"01.01.2017 12:30 - 01.01.2017 12:45","6950","6851"
"01.01.2017 12:45 - 01.01.2017 13:00","6904","6792"
"01.01.2017 13:00 - 01.01.2017 13:15","6858","6830"
"01.01.2017 13:15 - 01.01.2017 13:30","6802","6754"
"01.01.2017 13:30 - 01.01.2017 13:45","6788","6688"
"01.01.2017 13:45 - 01.01.2017 14:00","6733","6694"
"01.01.2017 14:00 - 01.01.2017 14:15","6722","6692"
"01.01.2017 14:15 - 01.01.2017 14:30","6681","6677"
"01.01.2017 14:30 - 01.01.2017 14:45","6652","6689"
"01.01.2017 14:45 - 01.01.2017 15:00","6637","6635"
"01.01.2017 15:00 - 01.01.2017 15:15","6698","6627"
"01.01.2017 15:15 - 01.01.2017 15:30","6684","6686"
"01.01.2017 15:30 - 01.01.2017 15:45","6689","6748"
"01.01.2017 15:45 - 01.01.2017 16:00","6697","6804"
"01.01.2017 16:00 - 01.01.2017 16:15","6943","6930"
"01.01.2017 16:15 - 01.01.2017 16:30","6973","7041"
"01.01.2017 16:30 - 01.01.2017 16:45","7040","7217"
"01.01.2017 16:45 - 01.01.2017 17:00","7144","7406"
"01.01.2017 17:00 - 01.01.2017 17:15","7419","7617"
"01.01.2017 17:15 - 01.01.2017 17:30","7524","7704"
"01.01.2017 17:30 - 01.01.2017 17:45","7593","7746"
"01.01.2017 17:45 - 01.01.2017 18:00","7649","7756"
"01.01.2017 18:00 - 01.01.2017 18:15","7741","7855"
"01.01.2017 18:15 - 01.01.2017 18:30","7749","7834"
"01.01.2017 18:30 - 01.01.2017 18:45","7762","7839"
"01.01.2017 18:45 - 01.01.2017 19:00","7749","7786"
"01.01.2017 19:00 - 01.01.2017 19:15","7604","7638"
"01.01.2017 19:15 - 01.01.2017 19:30","7573","7560"
"01.01.2017 19:30 - 01.01.2017 19:45","7564","7473"
"01.01.2017 19:45 - 01.01.2017 20:00","7522","7381"
"01.01.2017 20:00 - 01.01.2017 20:15","7267","7330"
"01.01.2017 20:15 - 01.01.2017 20:30","7206","7240"
"01.01.2017 20:30 - 01.01.2017 20:45","7187","7146"
"01.01.2017 20:45 - 01.01.2017 21:00","7128","7020"
"01.01.2017 21:00 - 01.01.2017 21:15","6905","6890"
"01.01.2017 21:15 - 01.01.2017 21:30","6865","6806"
"01.01.2017 21:30 - 01.01.2017 21:45","6861","6735"
"01.01.2017 21:45 - 01.01.2017 22:00","6870","6724"
"01.01.2017 22:00 - 01.01.2017 22:15","7134","7023"
"01.01.2017 22:15 - 01.01.2017 22:30","7140","7003"
"01.01.2017 22:30 - 01.01.2017 22:45","7100","6848"
"01.01.2017 22:45 - 01.01.2017 23:00","7024","6750"
"01.01.2017 23:00 - 01.01.2017 23:15","6786","6816"
"01.01.2017 23:15 - 01.01.2017 23:30","6699","6667"
"01.01.2017 23:30 - 01.01.2017 23:45","6654","6570"
"01.01.2017 23:45 - 02.01.2017 00:00","6620","6478"
"02.01.2017 00:00 - 02.01.2017 00:15","6884","6498"
"02.01.2017 00:15 - 02.01.2017 00:30","6803","6407"
"02.01.2017 00:30 - 02.01.2017 00:45","6755","6297"
"02.01.2017 00:45 - 02.01.2017 01:00","6704","6210"
"02.01.2017 01:00 - 02.01.2017 01:15","6616","6241"
"02.01.2017 01:15 - 02.01.2017 01:30","6553","6163"
"02.01.2017 01:30 - 02.01.2017 01:45","6524","6092"
"02.01.2017 01:45 - 02.01.2017 02:00","6472","6056"
"02.01.2017 02:00 - 02.01.2017 02:15","6468","6149"
"02.01.2017 02:15 - 02.01.2017 02:30","6425","6080"
"02.01.2017 02:30 - 02.01.2017 02:45","6396","5982"
"02.01.2017 02:45 - 02.01.2017 03:00","6366","5957"
"02.01.2017 03:00 - 02.01.2017 03:15","6301","5940"
"02.01.2017 03:15 - 02.01.2017 03:30","6272","5910"
"02.01.2017 03:30 - 02.01.2017 03:45","6272","5890"
"02.01.2017 03:45 - 02.01.2017 04:00","6283","5918"
"02.01.2017 04:00 - 02.01.2017 04:15","6417","5972"
"02.01.2017 04:15 - 02.01.2017 04:30","6432","6056"
"02.01.2017 04:30 - 02.01.2017 04:45","6496","6071"
"02.01.2017 04:45 - 02.01.2017 05:00","6555","6207"
"02.01.2017 05:00 - 02.01.2017 05:15","6981","6427"
"02.01.2017 05:15 - 02.01.2017 05:30","7099","6561"
"02.01.2017 05:30 - 02.01.2017 05:45","7219","6741"
"02.01.2017 05:45 - 02.01.2017 06:00","7384","6925"
"02.01.2017 06:00 - 02.01.2017 06:15","7936","7080"
"02.01.2017 06:15 - 02.01.2017 06:30","8158","7312"
"02.01.2017 06:30 - 02.01.2017 06:45","8293","7459"
"02.01.2017 06:45 - 02.01.2017 07:00","8404","7681"
"02.01.2017 07:00 - 02.01.2017 07:15","8998","7980"
"02.01.2017 07:15 - 02.01.2017 07:30","9091","8202"
"02.01.2017 07:30 - 02.01.2017 07:45","9150","8351"
"02.01.2017 07:45 - 02.01.2017 08:00","9224","8469"
"02.01.2017 08:00 - 02.01.2017 08:15","9355","8556"
"02.01.2017 08:15 - 02.01.2017 08:30","9406","8696"
"02.01.2017 08:30 - 02.01.2017 08:45","9450","8779"
"02.01.2017 08:45 - 02.01.2017 09:00","9470","8862"
"02.01.2017 09:00 - 02.01.2017 09:15","9488","8930"
"02.01.2017 09:15 - 02.01.2017 09:30","9520","9004"
"02.01.2017 09:30 - 02.01.2017 09:45","9549","9018"
"02.01.2017 09:45 - 02.01.2017 10:00","9563","9016"
"02.01.2017 10:00 - 02.01.2017 10:15","9519","9001"
"02.01.2017 10:15 - 02.01.2017 10:30","9528","9023"
"02.01.2017 10:30 - 02.01.2017 10:45","9538","9020"
"02.01.2017 10:45 - 02.01.2017 11:00","9559","9053"
"02.01.2017 11:00 - 02.01.2017 11:15","9502","9048"
"02.01.2017 11:15 - 02.01.2017 11:30","9503","9101"
"02.01.2017 11:30 - 02.01.2017 11:45","9491","9086"
"02.01.2017 11:45 - 02.01.2017 12:00","9492","9043"
"02.01.2017 12:00 - 02.01.2017 12:15","9370","9057"
"02.01.2017 12:15 - 02.01.2017 12:30","9305","8970"
"02.01.2017 12:30 - 02.01.2017 12:45","9291","8892"
"02.01.2017 12:45 - 02.01.2017 13:00","9278","8846"
"02.01.2017 13:00 - 02.01.2017 13:15","9336","8887"
"02.01.2017 13:15 - 02.01.2017 13:30","9325","8854"
"02.01.2017 13:30 - 02.01.2017 13:45","9304","8831"
"02.01.2017 13:45 - 02.01.2017 14:00","9256","8797"
"02.01.2017 14:00 - 02.01.2017 14:15","9240","8827"
"02.01.2017 14:15 - 02.01.2017 14:30","9222","8775"
"02.01.2017 14:30 - 02.01.2017 14:45","9203","8777"
"02.01.2017 14:45 - 02.01.2017 15:00","9194","8756"
"02.01.2017 15:00 - 02.01.2017 15:15","9220","8801"
"02.01.2017 15:15 - 02.01.2017 15:30","9214","8813"
"02.01.2017 15:30 - 02.01.2017 15:45","9213","8842"
"02.01.2017 15:45 - 02.01.2017 16:00","9214","8914"
"02.01.2017 16:00 - 02.01.2017 16:15","9389","8998"
"02.01.2017 16:15 - 02.01.2017 16:30","9407","9124"
"02.01.2017 16:30 - 02.01.2017 16:45","9445","9254"
"02.01.2017 16:45 - 02.01.2017 17:00","9507","9394"
"02.01.2017 17:00 - 02.01.2017 17:15","9698","9465"
"02.01.2017 17:15 - 02.01.2017 17:30","9761","9521"
"02.01.2017 17:30 - 02.01.2017 17:45","9816","9522"
"02.01.2017 17:45 - 02.01.2017 18:00","9837","9554"
"02.01.2017 18:00 - 02.01.2017 18:15","9824","9471"
"02.01.2017 18:15 - 02.01.2017 18:30","9803","9432"
"02.01.2017 18:30 - 02.01.2017 18:45","9788","9330"
"02.01.2017 18:45 - 02.01.2017 19:00","9755","9262"
"02.01.2017 19:00 - 02.01.2017 19:15","9481","8963"
"02.01.2017 19:15 - 02.01.2017 19:30","9397","8818"
"02.01.2017 19:30 - 02.01.2017 19:45","9350","8757"
"02.01.2017 19:45 - 02.01.2017 20:00","9263","8622"
"02.01.2017 20:00 - 02.01.2017 20:15","8838","8508"
"02.01.2017 20:15 - 02.01.2017 20:30","8748","8326"
"02.01.2017 20:30 - 02.01.2017 20:45","8667","8189"
"02.01.2017 20:45 - 02.01.2017 21:00","8587","8048"
"02.01.2017 21:00 - 02.01.2017 21:15","8239","7942"
"02.01.2017 21:15 - 02.01.2017 21:30","8153","7808"
"02.01.2017 21:30 - 02.01.2017 21:45","8084","7675"
"02.01.2017 21:45 - 02.01.2017 22:00","8021","7619"
"02.01.2017 22:00 - 02.01.2017 22:15","8171","7880"
"02.01.2017 22:15 - 02.01.2017 22:30","8111","7796"
"02.01.2017 22:30 - 02.01.2017 22:45","8026","7647"
"02.01.2017 22:45 - 02.01.2017 23:00","7923","7504"
"02.01.2017 23:00 - 02.01.2017 23:15","7687","7410"
"02.01.2017 23:15 - 02.01.2017 23:30","7570","7240"
"02.01.2017 23:30 - 02.01.2017 23:45","7505","7113"
"02.01.2017 23:45 - 03.01.2017 00:00","7462","7032"
"03.01.2017 00:00 - 03.01.2017 00:15","7202","7036"
"03.01.2017 00:15 - 03.01.2017 00:30","7146","6911"
"03.01.2017 00:30 - 03.01.2017 00:45","7112","6825"
"03.01.2017 00:45 - 03.01.2017 01:00","7066","6733"
"03.01.2017 01:00 - 03.01.2017 01:15","6948","6722"
"03.01.2017 01:15 - 03.01.2017 01:30","6877","6651"
"03.01.2017 01:30 - 03.01.2017 01:45","6838","6567"
"03.01.2017 01:45 - 03.01.2017 02:00","6790","6484"
"03.01.2017 02:00 - 03.01.2017 02:15","6785","6528"
"03.01.2017 02:15 - 03.01.2017 02:30","6741","6447"
"03.01.2017 02:30 - 03.01.2017 02:45","6712","6351"
"03.01.2017 02:45 - 03.01.2017 03:00","6683","6323"
"03.01.2017 03:00 - 03.01.2017 03:15","6595","6325"
"03.01.2017 03:15 - 03.01.2017 03:30","6568","6275"
"03.01.2017 03:30 - 03.01.2017 03:45","6566","6300"
"03.01.2017 03:45 - 03.01.2017 04:00","6579","6364"
"03.01.2017 04:00 - 03.01.2017 04:15","6677","6392"
"03.01.2017 04:15 - 03.01.2017 04:30","6705","6394"
"03.01.2017 04:30 - 03.01.2017 04:45","6758","6486"
"03.01.2017 04:45 - 03.01.2017 05:00","6832","6550"
"03.01.2017 05:00 - 03.01.2017 05:15","7222","6791"
"03.01.2017 05:15 - 03.01.2017 05:30","7357","6906"
"03.01.2017 05:30 - 03.01.2017 05:45","7485","7062"
"03.01.2017 05:45 - 03.01.2017 06:00","7652","7226"
"03.01.2017 06:00 - 03.01.2017 06:15","8220","7376"
"03.01.2017 06:15 - 03.01.2017 06:30","8444","7564"
"03.01.2017 06:30 - 03.01.2017 06:45","8606","7747"
"03.01.2017 06:45 - 03.01.2017 07:00","8789","7894"
"03.01.2017 07:00 - 03.01.2017 07:15","9274","8231"
"03.01.2017 07:15 - 03.01.2017 07:30","9415","8424"
"03.01.2017 07:30 - 03.01.2017 07:45","9486","8566"
"03.01.2017 07:45 - 03.01.2017 08:00","9554","8657"
"03.01.2017 08:00 - 03.01.2017 08:15","9704","8788"
"03.01.2017 08:15 - 03.01.2017 08:30","9741","8883"
"03.01.2017 08:30 - 03.01.2017 08:45","9772","8940"
"03.01.2017 08:45 - 03.01.2017 09:00","9778","9041"
"03.01.2017 09:00 - 03.01.2017 09:15","9832","9031"
"03.01.2017 09:15 - 03.01.2017 09:30","9847","9120"
"03.01.2017 09:30 - 03.01.2017 09:45","9874","9164"
"03.01.2017 09:45 - 03.01.2017 10:00","9880","9210"
"03.01.2017 10:00 - 03.01.2017 10:15","9876","9214"
"03.01.2017 10:15 - 03.01.2017 10:30","9864","9295"
"03.01.2017 10:30 - 03.01.2017 10:45","9875","9315"
"03.01.2017 10:45 - 03.01.2017 11:00","9887","9344"
"03.01.2017 11:00 - 03.01.2017 11:15","9860","9322"
"03.01.2017 11:15 - 03.01.2017 11:30","9851","9376"
"03.01.2017 11:30 - 03.01.2017 11:45","9840","9354"
"03.01.2017 11:45 - 03.01.2017 12:00","9840","9318"
"03.01.2017 12:00 - 03.01.2017 12:15","9713","9272"
"03.01.2017 12:15 - 03.01.2017 12:30","9640","9178"
"03.01.2017 12:30 - 03.01.2017 12:45","9613","9103"
"03.01.2017 12:45 - 03.01.2017 13:00","9602","9069"
"03.01.2017 13:00 - 03.01.2017 13:15","9635","9121"
"03.01.2017 13:15 - 03.01.2017 13:30","9606","9045"
"03.01.2017 13:30 - 03.01.2017 13:45","9592","8986"
"03.01.2017 13:45 - 03.01.2017 14:00","9553","8938"
"03.01.2017 14:00 - 03.01.2017 14:15","9521","8940"
"03.01.2017 14:15 - 03.01.2017 14:30","9513","8928"
"03.01.2017 14:30 - 03.01.2017 14:45","9496","8922"
"03.01.2017 14:45 - 03.01.2017 15:00","9484","8880"
"03.01.2017 15:00 - 03.01.2017 15:15","9505","8878"
"03.01.2017 15:15 - 03.01.2017 15:30","9504","8848"
"03.01.2017 15:30 - 03.01.2017 15:45","9489","8919"
"03.01.2017 15:45 - 03.01.2017 16:00","9502","8994"
"03.01.2017 16:00 - 03.01.2017 16:15","9616","9099"
"03.01.2017 16:15 - 03.01.2017 16:30","9635","9181"
"03.01.2017 16:30 - 03.01.2017 16:45","9676","9344"
"03.01.2017 16:45 - 03.01.2017 17:00","9748","9533"
"03.01.2017 17:00 - 03.01.2017 17:15","9964","9659"
"03.01.2017 17:15 - 03.01.2017 17:30","10032","9780"
"03.01.2017 17:30 - 03.01.2017 17:45","10079","9797"
"03.01.2017 17:45 - 03.01.2017 18:00","10103","9798"
"03.01.2017 18:00 - 03.01.2017 18:15","10145","9744"
"03.01.2017 18:15 - 03.01.2017 18:30","10101","9714"
"03.01.2017 18:30 - 03.01.2017 18:45","10071","9633"
"03.01.2017 18:45 - 03.01.2017 19:00","10021","9545"
"03.01.2017 19:00 - 03.01.2017 19:15","9725","9310"
"03.01.2017 19:15 - 03.01.2017 19:30","9630","9185"
"03.01.2017 19:30 - 03.01.2017 19:45","9556","9028"
"03.01.2017 19:45 - 03.01.2017 20:00","9448","8854"
"03.01.2017 20:00 - 03.01.2017 20:15","9023","8727"
"03.01.2017 20:15 - 03.01.2017 20:30","8910","8661"
"03.01.2017 20:30 - 03.01.2017 20:45","8848","8537"
"03.01.2017 20:45 - 03.01.2017 21:00","8739","8407"
"03.01.2017 21:00 - 03.01.2017 21:15","8428","8285"
"03.01.2017 21:15 - 03.01.2017 21:30","8293","8020"
"03.01.2017 21:30 - 03.01.2017 21:45","8211","7854"
"03.01.2017 21:45 - 03.01.2017 22:00","8123","7782"
"03.01.2017 22:00 - 03.01.2017 22:15","8218","8005"
"03.01.2017 22:15 - 03.01.2017 22:30","8162","7961"
"03.01.2017 22:30 - 03.01.2017 22:45","8081","7799"
"03.01.2017 22:45 - 03.01.2017 23:00","7995","7704"
"03.01.2017 23:00 - 03.01.2017 23:15","7746","7612"
"03.01.2017 23:15 - 03.01.2017 23:30","7627","7433"
"03.01.2017 23:30 - 03.01.2017 23:45","7537","7285"
"03.01.2017 23:45 - 04.01.2017 00:00","7493","7166"
"04.01.2017 00:00 - 04.01.2017 00:15","7381","7246"
"04.01.2017 00:15 - 04.01.2017 00:30","7304","7092"
"04.01.2017 00:30 - 04.01.2017 00:45","7280","6973"
"04.01.2017 00:45 - 04.01.2017 01:00","7246","6937"
"04.01.2017 01:00 - 04.01.2017 01:15","7109","6924"
"04.01.2017 01:15 - 04.01.2017 01:30","7043","6849"
"04.01.2017 01:30 - 04.01.2017 01:45","7006","6760"
"04.01.2017 01:45 - 04.01.2017 02:00","6962","6699"
"04.01.2017 02:00 - 04.01.2017 02:15","6948","6776"
"04.01.2017 02:15 - 04.01.2017 02:30","6910","6623"
"04.01.2017 02:30 - 04.01.2017 02:45","6884","6510"
"04.01.2017 02:45 - 04.01.2017 03:00","6865","6466"
"04.01.2017 03:00 - 04.01.2017 03:15","6780","6440"
"04.01.2017 03:15 - 04.01.2017 03:30","6755","6404"
"04.01.2017 03:30 - 04.01.2017 03:45","6755","6385"
"04.01.2017 03:45 - 04.01.2017 04:00","6769","6373"
"04.01.2017 04:00 - 04.01.2017 04:15","6869","6474"
"04.01.2017 04:15 - 04.01.2017 04:30","6899","6526"
"04.01.2017 04:30 - 04.01.2017 04:45","6957","6580"
"04.01.2017 04:45 - 04.01.2017 05:00","7023","6664"
"04.01.2017 05:00 - 04.01.2017 05:15","7445","6857"
"04.01.2017 05:15 - 04.01.2017 05:30","7580","7037"
"04.01.2017 05:30 - 04.01.2017 05:45","7720","7198"
"04.01.2017 05:45 - 04.01.2017 06:00","7896","7348"
"04.01.2017 06:00 - 04.01.2017 06:15","8501","7598"
"04.01.2017 06:15 - 04.01.2017 06:30","8776","7829"
"04.01.2017 06:30 - 04.01.2017 06:45","8953","7959"
"04.01.2017 06:45 - 04.01.2017 07:00","9148","8150"
"04.01.2017 07:00 - 04.01.2017 07:15","9570","8524"
"04.01.2017 07:15 - 04.01.2017 07:30","9737","8659"
"04.01.2017 07:30 - 04.01.2017 07:45","9830","8860"
"04.01.2017 07:45 - 04.01.2017 08:00","9902","8932"
"04.01.2017 08:00 - 04.01.2017 08:15","10062","9014"
"04.01.2017 08:15 - 04.01.2017 08:30","10095","9069"
"04.01.2017 08:30 - 04.01.2017 08:45","10118","9178"
"04.01.2017 08:45 - 04.01.2017 09:00","10122","9269"
"04.01.2017 09:00 - 04.01.2017 09:15","10184","9354"
"04.01.2017 09:15 - 04.01.2017 09:30","10194","9368"
"04.01.2017 09:30 - 04.01.2017 09:45","10218","9445"
"04.01.2017 09:45 - 04.01.2017 10:00","10220","9467"
"04.01.2017 10:00 - 04.01.2017 10:15","10228","9506"
"04.01.2017 10:15 - 04.01.2017 10:30","10213","9557"
"04.01.2017 10:30 - 04.01.2017 10:45","10236","9596"
