"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"04.01.2017 10:45 - 04.01.2017 11:00","10254","9620"
"04.01.2017 11:00 - 04.01.2017 11:15","10245","9542"
"04.01.2017 11:15 - 04.01.2017 11:30","10234","9593"
"04.01.2017 11:30 - 04.01.2017 11:45","10229","9605"
"04.01.2017 11:45 - 04.01.2017 12:00","10223","9534"
"04.01.2017 12:00 - 04.01.2017 12:15","10103","9522"
"04.01.2017 12:15 - 04.01.2017 12:30","10025","9396"
"04.01.2017 12:30 - 04.01.2017 12:45","9994","9270"
"04.01.2017 12:45 - 04.01.2017 13:00","9979","9286"
"04.01.2017 13:00 - 04.01.2017 13:15","10013","9308"
"04.01.2017 13:15 - 04.01.2017 13:30","9985","9240"
"04.01.2017 13:30 - 04.01.2017 13:45","9968","9336"
"04.01.2017 13:45 - 04.01.2017 14:00","9949","9364"
"04.01.2017 14:00 - 04.01.2017 14:15","9901","9294"
"04.01.2017 14:15 - 04.01.2017 14:30","9890","9298"
"04.01.2017 14:30 - 04.01.2017 14:45","9862","9331"
"04.01.2017 14:45 - 04.01.2017 15:00","9854","9287"
"04.01.2017 15:00 - 04.01.2017 15:15","9883","9239"
"04.01.2017 15:15 - 04.01.2017 15:30","9892","9228"
"04.01.2017 15:30 - 04.01.2017 15:45","9866","9247"
"04.01.2017 15:45 - 04.01.2017 16:00","9886","9293"
"04.01.2017 16:00 - 04.01.2017 16:15","10005","9452"
"04.01.2017 16:15 - 04.01.2017 16:30","10032","9494"
"04.01.2017 16:30 - 04.01.2017 16:45","10066","9598"
"04.01.2017 16:45 - 04.01.2017 17:00","10133","9677"
"04.01.2017 17:00 - 04.01.2017 17:15","10351","9626"
"04.01.2017 17:15 - 04.01.2017 17:30","10414","9706"
"04.01.2017 17:30 - 04.01.2017 17:45","10438","9656"
"04.01.2017 17:45 - 04.01.2017 18:00","10463","9636"
"04.01.2017 18:00 - 04.01.2017 18:15","10515","9543"
"04.01.2017 18:15 - 04.01.2017 18:30","10467","9507"
"04.01.2017 18:30 - 04.01.2017 18:45","10425","9412"
"04.01.2017 18:45 - 04.01.2017 19:00","10378","9320"
"04.01.2017 19:00 - 04.01.2017 19:15","10039","9104"
"04.01.2017 19:15 - 04.01.2017 19:30","9948","8973"
"04.01.2017 19:30 - 04.01.2017 19:45","9862","8836"
"04.01.2017 19:45 - 04.01.2017 20:00","9754","8660"
"04.01.2017 20:00 - 04.01.2017 20:15","9310","8614"
"04.01.2017 20:15 - 04.01.2017 20:30","9167","8462"
"04.01.2017 20:30 - 04.01.2017 20:45","9086","8269"
"04.01.2017 20:45 - 04.01.2017 21:00","8977","8182"
"04.01.2017 21:00 - 04.01.2017 21:15","8687","8142"
"04.01.2017 21:15 - 04.01.2017 21:30","8546","7966"
"04.01.2017 21:30 - 04.01.2017 21:45","8457","7854"
"04.01.2017 21:45 - 04.01.2017 22:00","8365","7727"
"04.01.2017 22:00 - 04.01.2017 22:15","8431","7968"
"04.01.2017 22:15 - 04.01.2017 22:30","8376","7906"
"04.01.2017 22:30 - 04.01.2017 22:45","8285","7764"
"04.01.2017 22:45 - 04.01.2017 23:00","8218","7640"
"04.01.2017 23:00 - 04.01.2017 23:15","7953","7608"
"04.01.2017 23:15 - 04.01.2017 23:30","7837","7437"
"04.01.2017 23:30 - 04.01.2017 23:45","7743","7315"
"04.01.2017 23:45 - 05.01.2017 00:00","7705","7237"
"05.01.2017 00:00 - 05.01.2017 00:15","7701","7158"
"05.01.2017 00:15 - 05.01.2017 00:30","7629","7038"
"05.01.2017 00:30 - 05.01.2017 00:45","7587","6914"
"05.01.2017 00:45 - 05.01.2017 01:00","7554","6771"
"05.01.2017 01:00 - 05.01.2017 01:15","7395","6782"
"05.01.2017 01:15 - 05.01.2017 01:30","7343","6690"
"05.01.2017 01:30 - 05.01.2017 01:45","7305","6601"
"05.01.2017 01:45 - 05.01.2017 02:00","7258","6548"
"05.01.2017 02:00 - 05.01.2017 02:15","7237","6632"
"05.01.2017 02:15 - 05.01.2017 02:30","7187","6594"
"05.01.2017 02:30 - 05.01.2017 02:45","7156","6546"
"05.01.2017 02:45 - 05.01.2017 03:00","7136","6515"
"05.01.2017 03:00 - 05.01.2017 03:15","7036","6477"
"05.01.2017 03:15 - 05.01.2017 03:30","7024","6405"
"05.01.2017 03:30 - 05.01.2017 03:45","7029","6332"
"05.01.2017 03:45 - 05.01.2017 04:00","7047","6330"
"05.01.2017 04:00 - 05.01.2017 04:15","7154","6391"
"05.01.2017 04:15 - 05.01.2017 04:30","7177","6424"
"05.01.2017 04:30 - 05.01.2017 04:45","7230","6491"
"05.01.2017 04:45 - 05.01.2017 05:00","7308","6595"
"05.01.2017 05:00 - 05.01.2017 05:15","7713","6807"
"05.01.2017 05:15 - 05.01.2017 05:30","7848","6903"
"05.01.2017 05:30 - 05.01.2017 05:45","7992","7038"
"05.01.2017 05:45 - 05.01.2017 06:00","8156","7180"
"05.01.2017 06:00 - 05.01.2017 06:15","8762","7312"
"05.01.2017 06:15 - 05.01.2017 06:30","9056","7567"
"05.01.2017 06:30 - 05.01.2017 06:45","9250","7748"
"05.01.2017 06:45 - 05.01.2017 07:00","9430","7965"
"05.01.2017 07:00 - 05.01.2017 07:15","9794","8240"
"05.01.2017 07:15 - 05.01.2017 07:30","9979","8406"
"05.01.2017 07:30 - 05.01.2017 07:45","10085","8550"
"05.01.2017 07:45 - 05.01.2017 08:00","10158","8662"
"05.01.2017 08:00 - 05.01.2017 08:15","10296","8801"
"05.01.2017 08:15 - 05.01.2017 08:30","10324","8853"
"05.01.2017 08:30 - 05.01.2017 08:45","10348","8964"
"05.01.2017 08:45 - 05.01.2017 09:00","10358","9046"
"05.01.2017 09:00 - 05.01.2017 09:15","10403","9071"
"05.01.2017 09:15 - 05.01.2017 09:30","10413","9131"
"05.01.2017 09:30 - 05.01.2017 09:45","10435","9183"
"05.01.2017 09:45 - 05.01.2017 10:00","10448","9240"
"05.01.2017 10:00 - 05.01.2017 10:15","10451","9287"
"05.01.2017 10:15 - 05.01.2017 10:30","10423","9320"
"05.01.2017 10:30 - 05.01.2017 10:45","10442","9378"
"05.01.2017 10:45 - 05.01.2017 11:00","10462","9423"
"05.01.2017 11:00 - 05.01.2017 11:15","10460","9416"
"05.01.2017 11:15 - 05.01.2017 11:30","10460","9495"
"05.01.2017 11:30 - 05.01.2017 11:45","10456","9469"
"05.01.2017 11:45 - 05.01.2017 12:00","10472","9459"
"05.01.2017 12:00 - 05.01.2017 12:15","10324","9455"
