"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2016 00:30 - 02.01.2016 00:45","39889","40601"
"02.01.2016 00:45 - 02.01.2016 01:00","39590","40006"
"02.01.2016 01:00 - 02.01.2016 01:15","39343","39838"
"02.01.2016 01:15 - 02.01.2016 01:30","38719","39069"
"02.01.2016 01:30 - 02.01.2016 01:45","38790","38552"
"02.01.2016 01:45 - 02.01.2016 02:00","38565","38327"
"02.01.2016 02:00 - 02.01.2016 02:15","38325","38570"
"02.01.2016 02:15 - 02.01.2016 02:30","37484","38410"
"02.01.2016 02:30 - 02.01.2016 02:45","37764","37945"
"02.01.2016 02:45 - 02.01.2016 03:00","37469","37709"
"02.01.2016 03:00 - 02.01.2016 03:15","37546","37844"
"02.01.2016 03:15 - 02.01.2016 03:30","37074","37857"
"02.01.2016 03:30 - 02.01.2016 03:45","37074","37798"
"02.01.2016 03:45 - 02.01.2016 04:00","37320","37879"
"02.01.2016 04:00 - 02.01.2016 04:15","36827","38550"
"02.01.2016 04:15 - 02.01.2016 04:30","37584","38600"
"02.01.2016 04:30 - 02.01.2016 04:45","36746","38826"
"02.01.2016 04:45 - 02.01.2016 05:00","36820","39070"
"02.01.2016 05:00 - 02.01.2016 05:15","37007","39344"
"02.01.2016 05:15 - 02.01.2016 05:30","36606","39425"
"02.01.2016 05:30 - 02.01.2016 05:45","36732","39751"
"02.01.2016 05:45 - 02.01.2016 06:00","36746","40127"
"02.01.2016 06:00 - 02.01.2016 06:15","36388","40232"
"02.01.2016 06:15 - 02.01.2016 06:30","35902","40177"
"02.01.2016 06:30 - 02.01.2016 06:45","36371","40704"
"02.01.2016 06:45 - 02.01.2016 07:00","37091","41389"
"02.01.2016 07:00 - 02.01.2016 07:15","37640","42517"
"02.01.2016 07:15 - 02.01.2016 07:30","38186","43247"
"02.01.2016 07:30 - 02.01.2016 07:45","39570","43859"
"02.01.2016 07:45 - 02.01.2016 08:00","40211","45200"
"02.01.2016 08:00 - 02.01.2016 08:15","41071","46232"
"02.01.2016 08:15 - 02.01.2016 08:30","41168","47226"
"02.01.2016 08:30 - 02.01.2016 08:45","42081","47883"
"02.01.2016 08:45 - 02.01.2016 09:00","42614","48853"
"02.01.2016 09:00 - 02.01.2016 09:15","43595","50191"
"02.01.2016 09:15 - 02.01.2016 09:30","44506","50763"
"02.01.2016 09:30 - 02.01.2016 09:45","44963","51592"
"02.01.2016 09:45 - 02.01.2016 10:00","45907","52472"
"02.01.2016 10:00 - 02.01.2016 10:15","46135","53224"
"02.01.2016 10:15 - 02.01.2016 10:30","46861","53681"
"02.01.2016 10:30 - 02.01.2016 10:45","46943","54016"
"02.01.2016 10:45 - 02.01.2016 11:00","47154","54273"
"02.01.2016 11:00 - 02.01.2016 11:15","47968","54881"
"02.01.2016 11:15 - 02.01.2016 11:30","48275","55600"
"02.01.2016 11:30 - 02.01.2016 11:45","48984","56149"
"02.01.2016 11:45 - 02.01.2016 12:00","49055","56379"
"02.01.2016 12:00 - 02.01.2016 12:15","48913","56426"
"02.01.2016 12:15 - 02.01.2016 12:30","48461","56374"
"02.01.2016 12:30 - 02.01.2016 12:45","48227","56404"
"02.01.2016 12:45 - 02.01.2016 13:00","48154","56059"
"02.01.2016 13:00 - 02.01.2016 13:15","47321","55974"
"02.01.2016 13:15 - 02.01.2016 13:30","47141","55605"
"02.01.2016 13:30 - 02.01.2016 13:45","46856","55420"
"02.01.2016 13:45 - 02.01.2016 14:00","46226","55212"
"02.01.2016 14:00 - 02.01.2016 14:15","45825","55213"
"02.01.2016 14:15 - 02.01.2016 14:30","45218","55046"
"02.01.2016 14:30 - 02.01.2016 14:45","45034","54875"
"02.01.2016 14:45 - 02.01.2016 15:00","45050","54745"
"02.01.2016 15:00 - 02.01.2016 15:15","44934","55031"
"02.01.2016 15:15 - 02.01.2016 15:30","45434","55099"
"02.01.2016 15:30 - 02.01.2016 15:45","44663","55169"
"02.01.2016 15:45 - 02.01.2016 16:00","45169","55309"
"02.01.2016 16:00 - 02.01.2016 16:15","44804","55949"
"02.01.2016 16:15 - 02.01.2016 16:30","46263","56518"
"02.01.2016 16:30 - 02.01.2016 16:45","47354","57363"
"02.01.2016 16:45 - 02.01.2016 17:00","48520","58353"
"02.01.2016 17:00 - 02.01.2016 17:15","49979","59297"
