"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"03.01.2018 23:00 - 03.01.2018 23:15","53585","60368"
"03.01.2018 23:15 - 03.01.2018 23:30","52547","59078"
"03.01.2018 23:30 - 03.01.2018 23:45","51581","58113"
"03.01.2018 23:45 - 04.01.2018 00:00","50714","57193"
"04.01.2018 00:00 - 04.01.2018 00:15","49635","55843"
"04.01.2018 00:15 - 04.01.2018 00:30","49037","55011"
"04.01.2018 00:30 - 04.01.2018 00:45","48397","54591"
"04.01.2018 00:45 - 04.01.2018 01:00","47681","53997"
"04.01.2018 01:00 - 04.01.2018 01:15","46945","53195"
"04.01.2018 01:15 - 04.01.2018 01:30","46616","52828"
"04.01.2018 01:30 - 04.01.2018 01:45","46306","52402"
"04.01.2018 01:45 - 04.01.2018 02:00","46147","51812"
"04.01.2018 02:00 - 04.01.2018 02:15","45718","51639"
"04.01.2018 02:15 - 04.01.2018 02:30","45598","51328"
"04.01.2018 02:30 - 04.01.2018 02:45","45734","51382"
"04.01.2018 02:45 - 04.01.2018 03:00","45733","51232"
"04.01.2018 03:00 - 04.01.2018 03:15","45728","51389"
"04.01.2018 03:15 - 04.01.2018 03:30","45803","51554"
"04.01.2018 03:30 - 04.01.2018 03:45","45888","51817"
"04.01.2018 03:45 - 04.01.2018 04:00","45924","52204"
"04.01.2018 04:00 - 04.01.2018 04:15","46302","52416"
"04.01.2018 04:15 - 04.01.2018 04:30","46619","52550"
"04.01.2018 04:30 - 04.01.2018 04:45","47009","52899"
"04.01.2018 04:45 - 04.01.2018 05:00","47498","53283"
"04.01.2018 05:00 - 04.01.2018 05:15","48682","54161"
"04.01.2018 05:15 - 04.01.2018 05:30","49106","54448"
"04.01.2018 05:30 - 04.01.2018 05:45","50034","55704"
"04.01.2018 05:45 - 04.01.2018 06:00","51103","56965"
"04.01.2018 06:00 - 04.01.2018 06:15","53294","58683"
"04.01.2018 06:15 - 04.01.2018 06:30","55173","60120"
"04.01.2018 06:30 - 04.01.2018 06:45","56615","61889"
"04.01.2018 06:45 - 04.01.2018 07:00","57845","63445"
"04.01.2018 07:00 - 04.01.2018 07:15","59645","65055"
"04.01.2018 07:15 - 04.01.2018 07:30","60283","66063"
"04.01.2018 07:30 - 04.01.2018 07:45","60514","66875"
"04.01.2018 07:45 - 04.01.2018 08:00","61759","67731"
"04.01.2018 08:00 - 04.01.2018 08:15","62614","69359"
"04.01.2018 08:15 - 04.01.2018 08:30","63003","69267"
"04.01.2018 08:30 - 04.01.2018 08:45","63362","69277"
"04.01.2018 08:45 - 04.01.2018 09:00","63323","69597"
"04.01.2018 09:00 - 04.01.2018 09:15","63908","69343"
"04.01.2018 09:15 - 04.01.2018 09:30","64247","69744"
"04.01.2018 09:30 - 04.01.2018 09:45","64580","69900"
"04.01.2018 09:45 - 04.01.2018 10:00","64676","70047"
"04.01.2018 10:00 - 04.01.2018 10:15","64718","70307"
"04.01.2018 10:15 - 04.01.2018 10:30","65264","70559"
"04.01.2018 10:30 - 04.01.2018 10:45","65344","71067"
"04.01.2018 10:45 - 04.01.2018 11:00","65412","71369"
"04.01.2018 11:00 - 04.01.2018 11:15","66020","71526"
"04.01.2018 11:15 - 04.01.2018 11:30","66218","71940"
"04.01.2018 11:30 - 04.01.2018 11:45","66611","71960"
"04.01.2018 11:45 - 04.01.2018 12:00","66729","71953"
"04.01.2018 12:00 - 04.01.2018 12:15","66514","71776"
"04.01.2018 12:15 - 04.01.2018 12:30","66557","71557"
"04.01.2018 12:30 - 04.01.2018 12:45","66405","71255"
"04.01.2018 12:45 - 04.01.2018 13:00","66384","71240"
"04.01.2018 13:00 - 04.01.2018 13:15","66503","71047"
"04.01.2018 13:15 - 04.01.2018 13:30","65972","70683"
"04.01.2018 13:30 - 04.01.2018 13:45","65608","70300"
"04.01.2018 13:45 - 04.01.2018 14:00","64828","69527"
"04.01.2018 14:00 - 04.01.2018 14:15","64734","69290"
"04.01.2018 14:15 - 04.01.2018 14:30","64317","69089"
"04.01.2018 14:30 - 04.01.2018 14:45","64487","68889"
"04.01.2018 14:45 - 04.01.2018 15:00","64666","68483"
"04.01.2018 15:00 - 04.01.2018 15:15","64944","68800"
"04.01.2018 15:15 - 04.01.2018 15:30","64043","68601"
"04.01.2018 15:30 - 04.01.2018 15:45","64026","68601"
"04.01.2018 15:45 - 04.01.2018 16:00","63928","68626"
"04.01.2018 16:00 - 04.01.2018 16:15","64207","69230"
"04.01.2018 16:15 - 04.01.2018 16:30","64620","69340"
"04.01.2018 16:30 - 04.01.2018 16:45","65261","69900"
"04.01.2018 16:45 - 04.01.2018 17:00","65616","70772"
"04.01.2018 17:00 - 04.01.2018 17:15","66634","71315"
"04.01.2018 17:15 - 04.01.2018 17:30","66914","71395"
"04.01.2018 17:30 - 04.01.2018 17:45","67465","71826"
"04.01.2018 17:45 - 04.01.2018 18:00","67456","72056"
"04.01.2018 18:00 - 04.01.2018 18:15","66944","71490"
"04.01.2018 18:15 - 04.01.2018 18:30","67086","71066"
"04.01.2018 18:30 - 04.01.2018 18:45","66716","71017"
"04.01.2018 18:45 - 04.01.2018 19:00","66590","70653"
"04.01.2018 19:00 - 04.01.2018 19:15","66297","70391"
"04.01.2018 19:15 - 04.01.2018 19:30","65727","69320"
"04.01.2018 19:30 - 04.01.2018 19:45","65217","68798"
"04.01.2018 19:45 - 04.01.2018 20:00","64669","68444"
"04.01.2018 20:00 - 04.01.2018 20:15","63252","67724"
"04.01.2018 20:15 - 04.01.2018 20:30","61704","66377"
"04.01.2018 20:30 - 04.01.2018 20:45","61042","65812"
"04.01.2018 20:45 - 04.01.2018 21:00","60361","64797"
"04.01.2018 21:00 - 04.01.2018 21:15","59452","64507"
"04.01.2018 21:15 - 04.01.2018 21:30","58910","63760"
"04.01.2018 21:30 - 04.01.2018 21:45","58775","62879"
"04.01.2018 21:45 - 04.01.2018 22:00","57907","62583"
"04.01.2018 22:00 - 04.01.2018 22:15","58094","62564"
"04.01.2018 22:15 - 04.01.2018 22:30","57231","61738"
"04.01.2018 22:30 - 04.01.2018 22:45","56244","60952"
"04.01.2018 22:45 - 04.01.2018 23:00","55205","59849"
"04.01.2018 23:00 - 04.01.2018 23:15","53974","58887"
"04.01.2018 23:15 - 04.01.2018 23:30","52935","57676"
"04.01.2018 23:30 - 04.01.2018 23:45","51974","56734"
"04.01.2018 23:45 - 05.01.2018 00:00","51165","55938"
"05.01.2018 00:00 - 05.01.2018 00:15","51831","54376"
"05.01.2018 00:15 - 05.01.2018 00:30","50972","53788"
"05.01.2018 00:30 - 05.01.2018 00:45","50446","53318"
"05.01.2018 00:45 - 05.01.2018 01:00","49765","52885"
"05.01.2018 01:00 - 05.01.2018 01:15","49122","52008"
"05.01.2018 01:15 - 05.01.2018 01:30","48577","51544"
"05.01.2018 01:30 - 05.01.2018 01:45","48483","51273"
"05.01.2018 01:45 - 05.01.2018 02:00","48185","51032"
"05.01.2018 02:00 - 05.01.2018 02:15","47806","50978"
"05.01.2018 02:15 - 05.01.2018 02:30","47602","50958"
"05.01.2018 02:30 - 05.01.2018 02:45","47647","51047"
"05.01.2018 02:45 - 05.01.2018 03:00","47656","51126"
"05.01.2018 03:00 - 05.01.2018 03:15","47699","51189"
"05.01.2018 03:15 - 05.01.2018 03:30","47602","51207"
"05.01.2018 03:30 - 05.01.2018 03:45","47654","51003"
"05.01.2018 03:45 - 05.01.2018 04:00","47766","51538"
"05.01.2018 04:00 - 05.01.2018 04:15","48174","51797"
"05.01.2018 04:15 - 05.01.2018 04:30","48415","52003"
"05.01.2018 04:30 - 05.01.2018 04:45","48764","52483"
"05.01.2018 04:45 - 05.01.2018 05:00","49131","52834"
"05.01.2018 05:00 - 05.01.2018 05:15","49890","53659"
"05.01.2018 05:15 - 05.01.2018 05:30","50241","54083"
"05.01.2018 05:30 - 05.01.2018 05:45","51068","54725"
"05.01.2018 05:45 - 05.01.2018 06:00","51971","56043"
"05.01.2018 06:00 - 05.01.2018 06:15","53332","58057"
"05.01.2018 06:15 - 05.01.2018 06:30","55045","59429"
"05.01.2018 06:30 - 05.01.2018 06:45","56177","61314"
"05.01.2018 06:45 - 05.01.2018 07:00","57545","63076"
"05.01.2018 07:00 - 05.01.2018 07:15","59164","64784"
"05.01.2018 07:15 - 05.01.2018 07:30","60204","65915"
"05.01.2018 07:30 - 05.01.2018 07:45","61906","66952"
"05.01.2018 07:45 - 05.01.2018 08:00","62859","67879"
"05.01.2018 08:00 - 05.01.2018 08:15","63891","68969"
"05.01.2018 08:15 - 05.01.2018 08:30","64093","69100"
"05.01.2018 08:30 - 05.01.2018 08:45","64301","69489"
"05.01.2018 08:45 - 05.01.2018 09:00","64506","69682"
"05.01.2018 09:00 - 05.01.2018 09:15","64814","70082"
"05.01.2018 09:15 - 05.01.2018 09:30","65338","70007"
"05.01.2018 09:30 - 05.01.2018 09:45","65260","70298"
"05.01.2018 09:45 - 05.01.2018 10:00","65774","70539"
"05.01.2018 10:00 - 05.01.2018 10:15","65829","70925"
"05.01.2018 10:15 - 05.01.2018 10:30","66163","70930"
"05.01.2018 10:30 - 05.01.2018 10:45","66347","71253"
"05.01.2018 10:45 - 05.01.2018 11:00","66698","71522"
"05.01.2018 11:00 - 05.01.2018 11:15","66863","71961"
"05.01.2018 11:15 - 05.01.2018 11:30","67057","72092"
"05.01.2018 11:30 - 05.01.2018 11:45","67362","72491"
"05.01.2018 11:45 - 05.01.2018 12:00","67662","72455"
"05.01.2018 12:00 - 05.01.2018 12:15","66762","72123"
