"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2018 00:00 - 01.01.2018 00:15","42237","46042"
"01.01.2018 00:15 - 01.01.2018 00:30","41456","45525"
"01.01.2018 00:30 - 01.01.2018 00:45","41009","45173"
"01.01.2018 00:45 - 01.01.2018 01:00","40521","44993"
"01.01.2018 01:00 - 01.01.2018 01:15","40034","44695"
"01.01.2018 01:15 - 01.01.2018 01:30","39615","44552"
"01.01.2018 01:30 - 01.01.2018 01:45","39221","44040"
"01.01.2018 01:45 - 01.01.2018 02:00","38966","43793"
"01.01.2018 02:00 - 01.01.2018 02:15","38600","43397"
"01.01.2018 02:15 - 01.01.2018 02:30","38486","43186"
"01.01.2018 02:30 - 01.01.2018 02:45","38366","43308"
"01.01.2018 02:45 - 01.01.2018 03:00","38295","42892"
"01.01.2018 03:00 - 01.01.2018 03:15","38204","42769"
"01.01.2018 03:15 - 01.01.2018 03:30","38231","42589"
"01.01.2018 03:30 - 01.01.2018 03:45","38273","42401"
"01.01.2018 03:45 - 01.01.2018 04:00","38335","42351"
"01.01.2018 04:00 - 01.01.2018 04:15","38475","42554"
"01.01.2018 04:15 - 01.01.2018 04:30","38574","42468"
"01.01.2018 04:30 - 01.01.2018 04:45","38629","42542"
"01.01.2018 04:45 - 01.01.2018 05:00","38570","42499"
"01.01.2018 05:00 - 01.01.2018 05:15","38911","42653"
"01.01.2018 05:15 - 01.01.2018 05:30","38707","42384"
"01.01.2018 05:30 - 01.01.2018 05:45","38690","42208"
"01.01.2018 05:45 - 01.01.2018 06:00","38366","41867"
"01.01.2018 06:00 - 01.01.2018 06:15","37603","41272"
"01.01.2018 06:15 - 01.01.2018 06:30","37870","41101"
"01.01.2018 06:30 - 01.01.2018 06:45","37824","41145"
"01.01.2018 06:45 - 01.01.2018 07:00","38082","41319"
"01.01.2018 07:00 - 01.01.2018 07:15","38434","41500"
"01.01.2018 07:15 - 01.01.2018 07:30","38869","41609"
"01.01.2018 07:30 - 01.01.2018 07:45","39620","41890"
"01.01.2018 07:45 - 01.01.2018 08:00","40698","42198"
"01.01.2018 08:00 - 01.01.2018 08:15","41561","42525"
"01.01.2018 08:15 - 01.01.2018 08:30","42075","42590"
"01.01.2018 08:30 - 01.01.2018 08:45","42643","42980"
"01.01.2018 08:45 - 01.01.2018 09:00","43254","43411"
"01.01.2018 09:00 - 01.01.2018 09:15","44312","44364"
"01.01.2018 09:15 - 01.01.2018 09:30","45197","44864"
"01.01.2018 09:30 - 01.01.2018 09:45","45599","45538"
"01.01.2018 09:45 - 01.01.2018 10:00","46087","46171"
"01.01.2018 10:00 - 01.01.2018 10:15","46917","46909"
"01.01.2018 10:15 - 01.01.2018 10:30","47723","47483"
"01.01.2018 10:30 - 01.01.2018 10:45","48218","48127"
"01.01.2018 10:45 - 01.01.2018 11:00","48844","48630"
"01.01.2018 11:00 - 01.01.2018 11:15","49587","49553"
"01.01.2018 11:15 - 01.01.2018 11:30","50225","50184"
"01.01.2018 11:30 - 01.01.2018 11:45","50852","50778"
"01.01.2018 11:45 - 01.01.2018 12:00","51823","51123"
"01.01.2018 12:00 - 01.01.2018 12:15","51064","51552"
"01.01.2018 12:15 - 01.01.2018 12:30","50948","51825"
"01.01.2018 12:30 - 01.01.2018 12:45","50660","52194"
"01.01.2018 12:45 - 01.01.2018 13:00","50197","52151"
"01.01.2018 13:00 - 01.01.2018 13:15","49845","51562"
"01.01.2018 13:15 - 01.01.2018 13:30","49182","50910"
"01.01.2018 13:30 - 01.01.2018 13:45","48718","50690"
"01.01.2018 13:45 - 01.01.2018 14:00","48191","50086"
"01.01.2018 14:00 - 01.01.2018 14:15","47782","49744"
"01.01.2018 14:15 - 01.01.2018 14:30","47295","49575"
"01.01.2018 14:30 - 01.01.2018 14:45","47199","49638"
"01.01.2018 14:45 - 01.01.2018 15:00","47133","49511"
"01.01.2018 15:00 - 01.01.2018 15:15","46825","49633"
"01.01.2018 15:15 - 01.01.2018 15:30","46975","49756"
"01.01.2018 15:30 - 01.01.2018 15:45","47197","49821"
"01.01.2018 15:45 - 01.01.2018 16:00","47196","49876"
"01.01.2018 16:00 - 01.01.2018 16:15","47769","50438"
"01.01.2018 16:15 - 01.01.2018 16:30","47984","51289"
"01.01.2018 16:30 - 01.01.2018 16:45","48068","52177"
"01.01.2018 16:45 - 01.01.2018 17:00","49838","53589"
"01.01.2018 17:00 - 01.01.2018 17:15","51269","54944"
"01.01.2018 17:15 - 01.01.2018 17:30","52076","55292"
"01.01.2018 17:30 - 01.01.2018 17:45","52696","55625"
"01.01.2018 17:45 - 01.01.2018 18:00","52979","55658"
"01.01.2018 18:00 - 01.01.2018 18:15","53437","56243"
"01.01.2018 18:15 - 01.01.2018 18:30","53509","56211"
"01.01.2018 18:30 - 01.01.2018 18:45","53388","56244"
"01.01.2018 18:45 - 01.01.2018 19:00","53202","56014"
"01.01.2018 19:00 - 01.01.2018 19:15","53047","55523"
"01.01.2018 19:15 - 01.01.2018 19:30","52574","55092"
"01.01.2018 19:30 - 01.01.2018 19:45","52269","54587"
"01.01.2018 19:45 - 01.01.2018 20:00","52096","54091"
"01.01.2018 20:00 - 01.01.2018 20:15","51406","53355"
"01.01.2018 20:15 - 01.01.2018 20:30","50661","52787"
"01.01.2018 20:30 - 01.01.2018 20:45","50108","51807"
"01.01.2018 20:45 - 01.01.2018 21:00","49568","51031"
"01.01.2018 21:00 - 01.01.2018 21:15","48922","50695"
"01.01.2018 21:15 - 01.01.2018 21:30","48916","50264"
"01.01.2018 21:30 - 01.01.2018 21:45","49780","50014"
"01.01.2018 21:45 - 01.01.2018 22:00","48337","49993"
"01.01.2018 22:00 - 01.01.2018 22:15","49030","50342"
"01.01.2018 22:15 - 01.01.2018 22:30","48562","49873"
"01.01.2018 22:30 - 01.01.2018 22:45","47817","49005"
"01.01.2018 22:45 - 01.01.2018 23:00","47044","48648"
"01.01.2018 23:00 - 01.01.2018 23:15","46274","47882"
"01.01.2018 23:15 - 01.01.2018 23:30","45667","47038"
"01.01.2018 23:30 - 01.01.2018 23:45","44887","46157"
"01.01.2018 23:45 - 02.01.2018 00:00","44638","45078"
"02.01.2018 00:00 - 02.01.2018 00:15","44427","44591"
"02.01.2018 00:15 - 02.01.2018 00:30","43825","43800"
"02.01.2018 00:30 - 02.01.2018 00:45","43444","43436"
"02.01.2018 00:45 - 02.01.2018 01:00","43355","42789"
"02.01.2018 01:00 - 02.01.2018 01:15","42874","42250"
"02.01.2018 01:15 - 02.01.2018 01:30","42558","41703"
"02.01.2018 01:30 - 02.01.2018 01:45","42363","41588"
"02.01.2018 01:45 - 02.01.2018 02:00","42125","41454"
"02.01.2018 02:00 - 02.01.2018 02:15","41770","41202"
"02.01.2018 02:15 - 02.01.2018 02:30","41819","41328"
"02.01.2018 02:30 - 02.01.2018 02:45","41720","41333"
"02.01.2018 02:45 - 02.01.2018 03:00","41735","41320"
"02.01.2018 03:00 - 02.01.2018 03:15","41798","41615"
"02.01.2018 03:15 - 02.01.2018 03:30","41942","41549"
"02.01.2018 03:30 - 02.01.2018 03:45","41969","41755"
"02.01.2018 03:45 - 02.01.2018 04:00","42176","41966"
"02.01.2018 04:00 - 02.01.2018 04:15","42683","42469"
"02.01.2018 04:15 - 02.01.2018 04:30","42997","42679"
"02.01.2018 04:30 - 02.01.2018 04:45","43462","43385"
"02.01.2018 04:45 - 02.01.2018 05:00","43964","43916"
"02.01.2018 05:00 - 02.01.2018 05:15","44999","45164"
"02.01.2018 05:15 - 02.01.2018 05:30","45748","45826"
"02.01.2018 05:30 - 02.01.2018 05:45","46892","46907"
"02.01.2018 05:45 - 02.01.2018 06:00","48264","48393"
"02.01.2018 06:00 - 02.01.2018 06:15","50951","50442"
"02.01.2018 06:15 - 02.01.2018 06:30","52804","52345"
"02.01.2018 06:30 - 02.01.2018 06:45","54742","53854"
"02.01.2018 06:45 - 02.01.2018 07:00","56139","55432"
"02.01.2018 07:00 - 02.01.2018 07:15","57749","57569"
"02.01.2018 07:15 - 02.01.2018 07:30","58913","58533"
"02.01.2018 07:30 - 02.01.2018 07:45","59887","59628"
"02.01.2018 07:45 - 02.01.2018 08:00","61068","60719"
"02.01.2018 08:00 - 02.01.2018 08:15","62028","62038"
"02.01.2018 08:15 - 02.01.2018 08:30","62186","62626"
"02.01.2018 08:30 - 02.01.2018 08:45","62533","63243"
"02.01.2018 08:45 - 02.01.2018 09:00","62542","63629"
"02.01.2018 09:00 - 02.01.2018 09:15","62442","63933"
"02.01.2018 09:15 - 02.01.2018 09:30","62800","64379"
"02.01.2018 09:30 - 02.01.2018 09:45","63016","64925"
"02.01.2018 09:45 - 02.01.2018 10:00","63702","65358"
"02.01.2018 10:00 - 02.01.2018 10:15","63924","65783"
"02.01.2018 10:15 - 02.01.2018 10:30","64361","66099"
"02.01.2018 10:30 - 02.01.2018 10:45","64967","66946"
"02.01.2018 10:45 - 02.01.2018 11:00","65153","67404"
"02.01.2018 11:00 - 02.01.2018 11:15","65386","67271"
"02.01.2018 11:15 - 02.01.2018 11:30","65649","67797"
"02.01.2018 11:30 - 02.01.2018 11:45","65879","68543"
"02.01.2018 11:45 - 02.01.2018 12:00","65856","68838"
"02.01.2018 12:00 - 02.01.2018 12:15","65506","68696"
"02.01.2018 12:15 - 02.01.2018 12:30","65750","68681"
"02.01.2018 12:30 - 02.01.2018 12:45","65469","68806"
"02.01.2018 12:45 - 02.01.2018 13:00","65670","68698"
"02.01.2018 13:00 - 02.01.2018 13:15","65505","68472"
"02.01.2018 13:15 - 02.01.2018 13:30","65325","68296"
"02.01.2018 13:30 - 02.01.2018 13:45","65027","67918"
"02.01.2018 13:45 - 02.01.2018 14:00","64309","67308"
"02.01.2018 14:00 - 02.01.2018 14:15","64043","67107"
"02.01.2018 14:15 - 02.01.2018 14:30","63699","66743"
"02.01.2018 14:30 - 02.01.2018 14:45","63678","66363"
"02.01.2018 14:45 - 02.01.2018 15:00","64018","66155"
"02.01.2018 15:00 - 02.01.2018 15:15","64408","66373"
"02.01.2018 15:15 - 02.01.2018 15:30","63355","66048"
"02.01.2018 15:30 - 02.01.2018 15:45","63238","65871"
"02.01.2018 15:45 - 02.01.2018 16:00","63039","65780"
"02.01.2018 16:00 - 02.01.2018 16:15","63467","65985"
"02.01.2018 16:15 - 02.01.2018 16:30","64208","66784"
"02.01.2018 16:30 - 02.01.2018 16:45","64783","67520"
"02.01.2018 16:45 - 02.01.2018 17:00","64350","68460"
"02.01.2018 17:00 - 02.01.2018 17:15","65071","69512"
"02.01.2018 17:15 - 02.01.2018 17:30","65134","69845"
"02.01.2018 17:30 - 02.01.2018 17:45","65620","69976"
"02.01.2018 17:45 - 02.01.2018 18:00","65377","70079"
"02.01.2018 18:00 - 02.01.2018 18:15","65166","69762"
"02.01.2018 18:15 - 02.01.2018 18:30","65267","69530"
"02.01.2018 18:30 - 02.01.2018 18:45","65119","69686"
"02.01.2018 18:45 - 02.01.2018 19:00","65174","69743"
"02.01.2018 19:00 - 02.01.2018 19:15","64756","69445"
"02.01.2018 19:15 - 02.01.2018 19:30","63978","68821"
"02.01.2018 19:30 - 02.01.2018 19:45","63455","67974"
"02.01.2018 19:45 - 02.01.2018 20:00","62929","67134"
"02.01.2018 20:00 - 02.01.2018 20:15","61736","66137"
"02.01.2018 20:15 - 02.01.2018 20:30","60223","64984"
"02.01.2018 20:30 - 02.01.2018 20:45","59715","63923"
"02.01.2018 20:45 - 02.01.2018 21:00","58934","62738"
"02.01.2018 21:00 - 02.01.2018 21:15","57888","62366"
"02.01.2018 21:15 - 02.01.2018 21:30","57414","61390"
"02.01.2018 21:30 - 02.01.2018 21:45","57313","61051"
"02.01.2018 21:45 - 02.01.2018 22:00","55990","60416"
"02.01.2018 22:00 - 02.01.2018 22:15","55818","60585"
"02.01.2018 22:15 - 02.01.2018 22:30","55151","59706"
"02.01.2018 22:30 - 02.01.2018 22:45","54093","58721"
"02.01.2018 22:45 - 02.01.2018 23:00","52765","57720"
"02.01.2018 23:00 - 02.01.2018 23:15","51620","56547"
"02.01.2018 23:15 - 02.01.2018 23:30","50546","55747"
"02.01.2018 23:30 - 02.01.2018 23:45","49572","54987"
"02.01.2018 23:45 - 03.01.2018 00:00","48787","54022"
"03.01.2018 00:00 - 03.01.2018 00:15","48801","53391"
"03.01.2018 00:15 - 03.01.2018 00:30","48408","52707"
"03.01.2018 00:30 - 03.01.2018 00:45","47843","52043"
"03.01.2018 00:45 - 03.01.2018 01:00","47217","51638"
"03.01.2018 01:00 - 03.01.2018 01:15","46531","51092"
"03.01.2018 01:15 - 03.01.2018 01:30","46132","50428"
"03.01.2018 01:30 - 03.01.2018 01:45","45746","50258"
"03.01.2018 01:45 - 03.01.2018 02:00","45488","49925"
"03.01.2018 02:00 - 03.01.2018 02:15","45261","49888"
"03.01.2018 02:15 - 03.01.2018 02:30","45068","49568"
"03.01.2018 02:30 - 03.01.2018 02:45","45056","49668"
"03.01.2018 02:45 - 03.01.2018 03:00","45025","49744"
"03.01.2018 03:00 - 03.01.2018 03:15","45081","50080"
"03.01.2018 03:15 - 03.01.2018 03:30","45106","50188"
"03.01.2018 03:30 - 03.01.2018 03:45","45151","50657"
"03.01.2018 03:45 - 03.01.2018 04:00","45205","50970"
"03.01.2018 04:00 - 03.01.2018 04:15","45540","51309"
"03.01.2018 04:15 - 03.01.2018 04:30","45855","51980"
"03.01.2018 04:30 - 03.01.2018 04:45","46242","52441"
"03.01.2018 04:45 - 03.01.2018 05:00","46725","53013"
"03.01.2018 05:00 - 03.01.2018 05:15","47728","54112"
"03.01.2018 05:15 - 03.01.2018 05:30","48188","55053"
"03.01.2018 05:30 - 03.01.2018 05:45","49003","55997"
"03.01.2018 05:45 - 03.01.2018 06:00","49980","57273"
"03.01.2018 06:00 - 03.01.2018 06:15","51948","59092"
"03.01.2018 06:15 - 03.01.2018 06:30","53544","61208"
"03.01.2018 06:30 - 03.01.2018 06:45","55079","62797"
"03.01.2018 06:45 - 03.01.2018 07:00","56588","63995"
"03.01.2018 07:00 - 03.01.2018 07:15","58254","65071"
"03.01.2018 07:15 - 03.01.2018 07:30","59378","66066"
"03.01.2018 07:30 - 03.01.2018 07:45","61550","67511"
"03.01.2018 07:45 - 03.01.2018 08:00","62527","68662"
"03.01.2018 08:00 - 03.01.2018 08:15","63532","69444"
"03.01.2018 08:15 - 03.01.2018 08:30","63988","70128"
"03.01.2018 08:30 - 03.01.2018 08:45","64202","70465"
"03.01.2018 08:45 - 03.01.2018 09:00","64223","71043"
"03.01.2018 09:00 - 03.01.2018 09:15","64400","70958"
"03.01.2018 09:15 - 03.01.2018 09:30","64629","71367"
"03.01.2018 09:30 - 03.01.2018 09:45","64785","71678"
"03.01.2018 09:45 - 03.01.2018 10:00","65105","72373"
"03.01.2018 10:00 - 03.01.2018 10:15","65402","72490"
"03.01.2018 10:15 - 03.01.2018 10:30","65698","72890"
"03.01.2018 10:30 - 03.01.2018 10:45","66019","73129"
"03.01.2018 10:45 - 03.01.2018 11:00","66156","73488"
"03.01.2018 11:00 - 03.01.2018 11:15","66390","73867"
"03.01.2018 11:15 - 03.01.2018 11:30","66767","74129"
"03.01.2018 11:30 - 03.01.2018 11:45","67040","74540"
"03.01.2018 11:45 - 03.01.2018 12:00","66761","74436"
"03.01.2018 12:00 - 03.01.2018 12:15","66618","73862"
"03.01.2018 12:15 - 03.01.2018 12:30","66800","74163"
"03.01.2018 12:30 - 03.01.2018 12:45","66633","74020"
"03.01.2018 12:45 - 03.01.2018 13:00","66853","73640"
"03.01.2018 13:00 - 03.01.2018 13:15","66775","73601"
"03.01.2018 13:15 - 03.01.2018 13:30","66578","73342"
"03.01.2018 13:30 - 03.01.2018 13:45","66281","72912"
"03.01.2018 13:45 - 03.01.2018 14:00","65473","72085"
"03.01.2018 14:00 - 03.01.2018 14:15","65322","71843"
"03.01.2018 14:15 - 03.01.2018 14:30","64954","71406"
"03.01.2018 14:30 - 03.01.2018 14:45","65073","71088"
"03.01.2018 14:45 - 03.01.2018 15:00","65339","70932"
"03.01.2018 15:00 - 03.01.2018 15:15","65966","70854"
"03.01.2018 15:15 - 03.01.2018 15:30","64822","70927"
"03.01.2018 15:30 - 03.01.2018 15:45","64614","70639"
"03.01.2018 15:45 - 03.01.2018 16:00","64529","70793"
"03.01.2018 16:00 - 03.01.2018 16:15","64937","71477"
"03.01.2018 16:15 - 03.01.2018 16:30","65636","71595"
"03.01.2018 16:30 - 03.01.2018 16:45","66502","72203"
"03.01.2018 16:45 - 03.01.2018 17:00","66154","73657"
"03.01.2018 17:00 - 03.01.2018 17:15","66957","74567"
"03.01.2018 17:15 - 03.01.2018 17:30","67084","74895"
"03.01.2018 17:30 - 03.01.2018 17:45","67531","75380"
"03.01.2018 17:45 - 03.01.2018 18:00","67392","75415"
"03.01.2018 18:00 - 03.01.2018 18:15","67153","75044"
"03.01.2018 18:15 - 03.01.2018 18:30","67312","74761"
"03.01.2018 18:30 - 03.01.2018 18:45","67037","74544"
"03.01.2018 18:45 - 03.01.2018 19:00","66990","74278"
"03.01.2018 19:00 - 03.01.2018 19:15","66593","74191"
"03.01.2018 19:15 - 03.01.2018 19:30","65978","72850"
"03.01.2018 19:30 - 03.01.2018 19:45","65317","72107"
"03.01.2018 19:45 - 03.01.2018 20:00","64823","71494"
"03.01.2018 20:00 - 03.01.2018 20:15","63482","70712"
"03.01.2018 20:15 - 03.01.2018 20:30","61674","69460"
"03.01.2018 20:30 - 03.01.2018 20:45","61116","68257"
"03.01.2018 20:45 - 03.01.2018 21:00","60344","66972"
"03.01.2018 21:00 - 03.01.2018 21:15","59420","66450"
"03.01.2018 21:15 - 03.01.2018 21:30","58832","65886"
"03.01.2018 21:30 - 03.01.2018 21:45","58662","64945"
"03.01.2018 21:45 - 03.01.2018 22:00","57680","64317"
"03.01.2018 22:00 - 03.01.2018 22:15","57786","64216"
"03.01.2018 22:15 - 03.01.2018 22:30","57201","63427"
"03.01.2018 22:30 - 03.01.2018 22:45","56022","62599"
"03.01.2018 22:45 - 03.01.2018 23:00","54828","61177"
