"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2015 00:00 - 01.01.2015 00:15","42955","44840"
"01.01.2015 00:15 - 01.01.2015 00:30","42412","44475"
"01.01.2015 00:30 - 01.01.2015 00:45","41901","44579"
"01.01.2015 00:45 - 01.01.2015 01:00","41355","44507"
"01.01.2015 01:00 - 01.01.2015 01:15","40710","44038"
"01.01.2015 01:15 - 01.01.2015 01:30","40204","43693"
"01.01.2015 01:30 - 01.01.2015 01:45","39640","43268"
"01.01.2015 01:45 - 01.01.2015 02:00","39324","42820"
"01.01.2015 02:00 - 01.01.2015 02:15","39002","42600"
"01.01.2015 02:15 - 01.01.2015 02:30","38869","42187"
"01.01.2015 02:30 - 01.01.2015 02:45","38783","41751"
"01.01.2015 02:45 - 01.01.2015 03:00","38598","41315"
"01.01.2015 03:00 - 01.01.2015 03:15","38626","41032"
"01.01.2015 03:15 - 01.01.2015 03:30","38459","40712"
"01.01.2015 03:30 - 01.01.2015 03:45","38414","40477"
"01.01.2015 03:45 - 01.01.2015 04:00","38461","40250"
"01.01.2015 04:00 - 01.01.2015 04:15","38559","40141"
"01.01.2015 04:15 - 01.01.2015 04:30","38490","39853"
"01.01.2015 04:30 - 01.01.2015 04:45","38713","39920"
"01.01.2015 04:45 - 01.01.2015 05:00","38813","39833"
"01.01.2015 05:00 - 01.01.2015 05:15","38876","39761"
"01.01.2015 05:15 - 01.01.2015 05:30","38828","39468"
"01.01.2015 05:30 - 01.01.2015 05:45","38807","39180"
"01.01.2015 05:45 - 01.01.2015 06:00","38582","38681"
"01.01.2015 06:00 - 01.01.2015 06:15","37456","37889"
"01.01.2015 06:15 - 01.01.2015 06:30","36618","37783"
"01.01.2015 06:30 - 01.01.2015 06:45","37170","37908"
"01.01.2015 06:45 - 01.01.2015 07:00","37746","37821"
"01.01.2015 07:00 - 01.01.2015 07:15","39111","37948"
"01.01.2015 07:15 - 01.01.2015 07:30","40432","37952"
"01.01.2015 07:30 - 01.01.2015 07:45","40745","38159"
"01.01.2015 07:45 - 01.01.2015 08:00","41198","38335"
"01.01.2015 08:00 - 01.01.2015 08:15","42047","38504"
"01.01.2015 08:15 - 01.01.2015 08:30","42497","38527"
"01.01.2015 08:30 - 01.01.2015 08:45","42458","38787"
"01.01.2015 08:45 - 01.01.2015 09:00","43086","39352"
"01.01.2015 09:00 - 01.01.2015 09:15","44128","40245"
"01.01.2015 09:15 - 01.01.2015 09:30","44907","40979"
"01.01.2015 09:30 - 01.01.2015 09:45","45321","41792"
"01.01.2015 09:45 - 01.01.2015 10:00","45726","42609"
"01.01.2015 10:00 - 01.01.2015 10:15","46160","43217"
"01.01.2015 10:15 - 01.01.2015 10:30","46745","43884"
"01.01.2015 10:30 - 01.01.2015 10:45","47555","44628"
"01.01.2015 10:45 - 01.01.2015 11:00","47944","45337"
"01.01.2015 11:00 - 01.01.2015 11:15","48865","46346"
"01.01.2015 11:15 - 01.01.2015 11:30","49382","46959"
"01.01.2015 11:30 - 01.01.2015 11:45","50033","47553"
"01.01.2015 11:45 - 01.01.2015 12:00","50133","47967"
"01.01.2015 12:00 - 01.01.2015 12:15","50178","48286"
"01.01.2015 12:15 - 01.01.2015 12:30","50231","48649"
"01.01.2015 12:30 - 01.01.2015 12:45","50150","48699"
"01.01.2015 12:45 - 01.01.2015 13:00","49080","48375"
"01.01.2015 13:00 - 01.01.2015 13:15","47602","48000"
"01.01.2015 13:15 - 01.01.2015 13:30","47263","47553"
"01.01.2015 13:30 - 01.01.2015 13:45","47800","47353"
"01.01.2015 13:45 - 01.01.2015 14:00","47447","47205"
"01.01.2015 14:00 - 01.01.2015 14:15","46619","47156"
"01.01.2015 14:15 - 01.01.2015 14:30","46983","46834"
"01.01.2015 14:30 - 01.01.2015 14:45","47635","46738"
"01.01.2015 14:45 - 01.01.2015 15:00","47149","46360"
"01.01.2015 15:00 - 01.01.2015 15:15","47423","46629"
"01.01.2015 15:15 - 01.01.2015 15:30","47436","46707"
"01.01.2015 15:30 - 01.01.2015 15:45","47270","46699"
"01.01.2015 15:45 - 01.01.2015 16:00","47403","46899"
"01.01.2015 16:00 - 01.01.2015 16:15","47838","47289"
"01.01.2015 16:15 - 01.01.2015 16:30","48181","48256"
"01.01.2015 16:30 - 01.01.2015 16:45","49234","49705"
"01.01.2015 16:45 - 01.01.2015 17:00","50490","51217"
"01.01.2015 17:00 - 01.01.2015 17:15","51307","52616"
"01.01.2015 17:15 - 01.01.2015 17:30","52149","53515"
"01.01.2015 17:30 - 01.01.2015 17:45","52753","54134"
"01.01.2015 17:45 - 01.01.2015 18:00","52943","54232"
"01.01.2015 18:00 - 01.01.2015 18:15","53375","54447"
"01.01.2015 18:15 - 01.01.2015 18:30","53496","54417"
"01.01.2015 18:30 - 01.01.2015 18:45","53421","54354"
"01.01.2015 18:45 - 01.01.2015 19:00","53177","54003"
"01.01.2015 19:00 - 01.01.2015 19:15","53186","53989"
"01.01.2015 19:15 - 01.01.2015 19:30","52873","53941"
"01.01.2015 19:30 - 01.01.2015 19:45","52481","53520"
"01.01.2015 19:45 - 01.01.2015 20:00","51855","53088"
"01.01.2015 20:00 - 01.01.2015 20:15","51271","52677"
"01.01.2015 20:15 - 01.01.2015 20:30","50361","51896"
"01.01.2015 20:30 - 01.01.2015 20:45","49513","50883"
"01.01.2015 20:45 - 01.01.2015 21:00","48936","50287"
"01.01.2015 21:00 - 01.01.2015 21:15","48941","50206"
"01.01.2015 21:15 - 01.01.2015 21:30","48728","50057"
"01.01.2015 21:30 - 01.01.2015 21:45","47372","49890"
"01.01.2015 21:45 - 01.01.2015 22:00","47344","50214"
"01.01.2015 22:00 - 01.01.2015 22:15","48079","51165"
"01.01.2015 22:15 - 01.01.2015 22:30","47771","50488"
"01.01.2015 22:30 - 01.01.2015 22:45","48080","49929"
"01.01.2015 22:45 - 01.01.2015 23:00","47284","49079"
"01.01.2015 23:00 - 01.01.2015 23:15","46677","48656"
"01.01.2015 23:15 - 01.01.2015 23:30","46067","47813"
"01.01.2015 23:30 - 01.01.2015 23:45","44100","47020"
"01.01.2015 23:45 - 02.01.2015 00:00","42660","46424"
"02.01.2015 00:00 - 02.01.2015 00:15","41215","45036"
"02.01.2015 00:15 - 02.01.2015 00:30","39055","45223"
"02.01.2015 00:30 - 02.01.2015 00:45","40238","44076"
"02.01.2015 00:45 - 02.01.2015 01:00","39805","43507"
"02.01.2015 01:00 - 02.01.2015 01:15","39257","43270"
"02.01.2015 01:15 - 02.01.2015 01:30","38803","42747"
"02.01.2015 01:30 - 02.01.2015 01:45","38517","42465"
"02.01.2015 01:45 - 02.01.2015 02:00","38269","42200"
"02.01.2015 02:00 - 02.01.2015 02:15","37882","42001"
"02.01.2015 02:15 - 02.01.2015 02:30","37817","41802"
"02.01.2015 02:30 - 02.01.2015 02:45","37831","41621"
"02.01.2015 02:45 - 02.01.2015 03:00","37749","41518"
"02.01.2015 03:00 - 02.01.2015 03:15","37877","41531"
"02.01.2015 03:15 - 02.01.2015 03:30","37794","41600"
"02.01.2015 03:30 - 02.01.2015 03:45","37735","41732"
"02.01.2015 03:45 - 02.01.2015 04:00","37907","41764"
"02.01.2015 04:00 - 02.01.2015 04:15","38537","42195"
"02.01.2015 04:15 - 02.01.2015 04:30","38679","42268"
"02.01.2015 04:30 - 02.01.2015 04:45","38990","42606"
"02.01.2015 04:45 - 02.01.2015 05:00","39493","42805"
"02.01.2015 05:00 - 02.01.2015 05:15","40010","43496"
"02.01.2015 05:15 - 02.01.2015 05:30","39979","43531"
"02.01.2015 05:30 - 02.01.2015 05:45","40613","43915"
"02.01.2015 05:45 - 02.01.2015 06:00","41408","44513"
"02.01.2015 06:00 - 02.01.2015 06:15","42119","45016"
"02.01.2015 06:15 - 02.01.2015 06:30","42613","45703"
"02.01.2015 06:30 - 02.01.2015 06:45","43850","46733"
"02.01.2015 06:45 - 02.01.2015 07:00","45019","47823"
"02.01.2015 07:00 - 02.01.2015 07:15","47059","49104"
"02.01.2015 07:15 - 02.01.2015 07:30","48854","49854"
"02.01.2015 07:30 - 02.01.2015 07:45","49747","51034"
"02.01.2015 07:45 - 02.01.2015 08:00","50499","52325"
"02.01.2015 08:00 - 02.01.2015 08:15","51317","53277"
