"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"02.01.2015 08:15 - 02.01.2015 08:30","51397","54270"
"02.01.2015 08:30 - 02.01.2015 08:45","51617","55040"
"02.01.2015 08:45 - 02.01.2015 09:00","51829","55746"
"02.01.2015 09:00 - 02.01.2015 09:15","52335","56833"
"02.01.2015 09:15 - 02.01.2015 09:30","53045","57459"
"02.01.2015 09:30 - 02.01.2015 09:45","53413","58080"
"02.01.2015 09:45 - 02.01.2015 10:00","53739","58481"
"02.01.2015 10:00 - 02.01.2015 10:15","54066","59265"
"02.01.2015 10:15 - 02.01.2015 10:30","54205","59513"
"02.01.2015 10:30 - 02.01.2015 10:45","54545","60046"
"02.01.2015 10:45 - 02.01.2015 11:00","54966","60099"
"02.01.2015 11:00 - 02.01.2015 11:15","55287","60664"
"02.01.2015 11:15 - 02.01.2015 11:30","55780","61175"
"02.01.2015 11:30 - 02.01.2015 11:45","55933","61497"
"02.01.2015 11:45 - 02.01.2015 12:00","55742","61910"
"02.01.2015 12:00 - 02.01.2015 12:15","55955","61891"
"02.01.2015 12:15 - 02.01.2015 12:30","55824","61613"
"02.01.2015 12:30 - 02.01.2015 12:45","55848","61478"
"02.01.2015 12:45 - 02.01.2015 13:00","54880","61033"
"02.01.2015 13:00 - 02.01.2015 13:15","53581","60998"
"02.01.2015 13:15 - 02.01.2015 13:30","53376","60671"
"02.01.2015 13:30 - 02.01.2015 13:45","53995","60318"
"02.01.2015 13:45 - 02.01.2015 14:00","53840","59935"
"02.01.2015 14:00 - 02.01.2015 14:15","52378","59676"
"02.01.2015 14:15 - 02.01.2015 14:30","53257","59377"
"02.01.2015 14:30 - 02.01.2015 14:45","53852","59147"
"02.01.2015 14:45 - 02.01.2015 15:00","53772","58817"
"02.01.2015 15:00 - 02.01.2015 15:15","53629","58815"
"02.01.2015 15:15 - 02.01.2015 15:30","53191","58575"
"02.01.2015 15:30 - 02.01.2015 15:45","53237","58364"
"02.01.2015 15:45 - 02.01.2015 16:00","53043","58456"
"02.01.2015 16:00 - 02.01.2015 16:15","53466","58672"
"02.01.2015 16:15 - 02.01.2015 16:30","53840","59442"
"02.01.2015 16:30 - 02.01.2015 16:45","54818","60311"
"02.01.2015 16:45 - 02.01.2015 17:00","55839","61216"
"02.01.2015 17:00 - 02.01.2015 17:15","56468","62511"
"02.01.2015 17:15 - 02.01.2015 17:30","57288","62926"
"02.01.2015 17:30 - 02.01.2015 17:45","57505","63114"
"02.01.2015 17:45 - 02.01.2015 18:00","57670","63290"
"02.01.2015 18:00 - 02.01.2015 18:15","57651","63433"
"02.01.2015 18:15 - 02.01.2015 18:30","57332","63388"
"02.01.2015 18:30 - 02.01.2015 18:45","57203","63210"
"02.01.2015 18:45 - 02.01.2015 19:00","56886","63004"
"02.01.2015 19:00 - 02.01.2015 19:15","56641","62537"
"02.01.2015 19:15 - 02.01.2015 19:30","55911","61817"
"02.01.2015 19:30 - 02.01.2015 19:45","55317","61181"
"02.01.2015 19:45 - 02.01.2015 20:00","54465","60661"
"02.01.2015 20:00 - 02.01.2015 20:15","53461","59411"
"02.01.2015 20:15 - 02.01.2015 20:30","52282","58092"
"02.01.2015 20:30 - 02.01.2015 20:45","51096","57134"
"02.01.2015 20:45 - 02.01.2015 21:00","50295","56241"
"02.01.2015 21:00 - 02.01.2015 21:15","50002","55661"
"02.01.2015 21:15 - 02.01.2015 21:30","48503","55313"
"02.01.2015 21:30 - 02.01.2015 21:45","46584","54976"
"02.01.2015 21:45 - 02.01.2015 22:00","46101","54882"
"02.01.2015 22:00 - 02.01.2015 22:15","46533","55286"
"02.01.2015 22:15 - 02.01.2015 22:30","46633","54793"
"02.01.2015 22:30 - 02.01.2015 22:45","45812","54024"
"02.01.2015 22:45 - 02.01.2015 23:00","44912","50090"
"02.01.2015 23:00 - 02.01.2015 23:15","44705","49257"
"02.01.2015 23:15 - 02.01.2015 23:30","44663","48347"
"02.01.2015 23:30 - 02.01.2015 23:45","44964","47501"
"02.01.2015 23:45 - 03.01.2015 00:00","43563","46405"
"03.01.2015 00:00 - 03.01.2015 00:15","42776","45492"
"03.01.2015 00:15 - 03.01.2015 00:30","41478","44408"
"03.01.2015 00:30 - 03.01.2015 00:45","42869","43805"
"03.01.2015 00:45 - 03.01.2015 01:00","42242","43171"
"03.01.2015 01:00 - 03.01.2015 01:15","41625","42767"
"03.01.2015 01:15 - 03.01.2015 01:30","41117","42050"
"03.01.2015 01:30 - 03.01.2015 01:45","40681","41617"
"03.01.2015 01:45 - 03.01.2015 02:00","40427","41283"
"03.01.2015 02:00 - 03.01.2015 02:15","39981","40992"
"03.01.2015 02:15 - 03.01.2015 02:30","39799","40490"
"03.01.2015 02:30 - 03.01.2015 02:45","39668","40363"
"03.01.2015 02:45 - 03.01.2015 03:00","39662","40313"
"03.01.2015 03:00 - 03.01.2015 03:15","39693","40268"
"03.01.2015 03:15 - 03.01.2015 03:30","39563","40191"
"03.01.2015 03:30 - 03.01.2015 03:45","39894","40080"
"03.01.2015 03:45 - 03.01.2015 04:00","40148","40328"
"03.01.2015 04:00 - 03.01.2015 04:15","40023","40544"
"03.01.2015 04:15 - 03.01.2015 04:30","39863","40398"
"03.01.2015 04:30 - 03.01.2015 04:45","40447","40506"
"03.01.2015 04:45 - 03.01.2015 05:00","40550","40599"
"03.01.2015 05:00 - 03.01.2015 05:15","40246","40901"
"03.01.2015 05:15 - 03.01.2015 05:30","39931","40645"
"03.01.2015 05:30 - 03.01.2015 05:45","39975","40663"
"03.01.2015 05:45 - 03.01.2015 06:00","39897","41479"
"03.01.2015 06:00 - 03.01.2015 06:15","39903","41720"
"03.01.2015 06:15 - 03.01.2015 06:30","39806","41850"
"03.01.2015 06:30 - 03.01.2015 06:45","40229","42358"
"03.01.2015 06:45 - 03.01.2015 07:00","40915","42872"
"03.01.2015 07:00 - 03.01.2015 07:15","41666","43384"
"03.01.2015 07:15 - 03.01.2015 07:30","42334","44206"
"03.01.2015 07:30 - 03.01.2015 07:45","43304","44975"
"03.01.2015 07:45 - 03.01.2015 08:00","44222","45817"
"03.01.2015 08:00 - 03.01.2015 08:15","45407","46841"
"03.01.2015 08:15 - 03.01.2015 08:30","46117","47451"
"03.01.2015 08:30 - 03.01.2015 08:45","47016","48073"
"03.01.2015 08:45 - 03.01.2015 09:00","47684","49029"
"03.01.2015 09:00 - 03.01.2015 09:15","48696","50161"
"03.01.2015 09:15 - 03.01.2015 09:30","49523","50682"
"03.01.2015 09:30 - 03.01.2015 09:45","49978","51856"
"03.01.2015 09:45 - 03.01.2015 10:00","50434","52641"
"03.01.2015 10:00 - 03.01.2015 10:15","51226","53292"
"03.01.2015 10:15 - 03.01.2015 10:30","51655","53848"
"03.01.2015 10:30 - 03.01.2015 10:45","51835","54182"
"03.01.2015 10:45 - 03.01.2015 11:00","52238","54598"
"03.01.2015 11:00 - 03.01.2015 11:15","52610","55166"
"03.01.2015 11:15 - 03.01.2015 11:30","52995","55750"
"03.01.2015 11:30 - 03.01.2015 11:45","53251","56394"
"03.01.2015 11:45 - 03.01.2015 12:00","52996","56767"
"03.01.2015 12:00 - 03.01.2015 12:15","52893","55550"
"03.01.2015 12:15 - 03.01.2015 12:30","52711","55536"
"03.01.2015 12:30 - 03.01.2015 12:45","52402","56572"
"03.01.2015 12:45 - 03.01.2015 13:00","52244","56431"
"03.01.2015 13:00 - 03.01.2015 13:15","51927","56426"
"03.01.2015 13:15 - 03.01.2015 13:30","51638","55981"
"03.01.2015 13:30 - 03.01.2015 13:45","51158","55802"
"03.01.2015 13:45 - 03.01.2015 14:00","51092","55384"
"03.01.2015 14:00 - 03.01.2015 14:15","50591","55216"
"03.01.2015 14:15 - 03.01.2015 14:30","50359","55052"
"03.01.2015 14:30 - 03.01.2015 14:45","50050","54993"
"03.01.2015 14:45 - 03.01.2015 15:00","49957","54723"
"03.01.2015 15:00 - 03.01.2015 15:15","49941","54810"
"03.01.2015 15:15 - 03.01.2015 15:30","49516","54707"
"03.01.2015 15:30 - 03.01.2015 15:45","48944","54919"
"03.01.2015 15:45 - 03.01.2015 16:00","49600","55043"
"03.01.2015 16:00 - 03.01.2015 16:15","50218","55427"
"03.01.2015 16:15 - 03.01.2015 16:30","50515","56746"
"03.01.2015 16:30 - 03.01.2015 16:45","50811","57641"
"03.01.2015 16:45 - 03.01.2015 17:00","51423","58674"
"03.01.2015 17:00 - 03.01.2015 17:15","51766","59808"
"03.01.2015 17:15 - 03.01.2015 17:30","52655","60090"
"03.01.2015 17:30 - 03.01.2015 17:45","52902","60577"
"03.01.2015 17:45 - 03.01.2015 18:00","52953","60632"
"03.01.2015 18:00 - 03.01.2015 18:15","53336","60953"
"03.01.2015 18:15 - 03.01.2015 18:30","52916","60862"
"03.01.2015 18:30 - 03.01.2015 18:45","52814","60561"
"03.01.2015 18:45 - 03.01.2015 19:00","52744","60131"
"03.01.2015 19:00 - 03.01.2015 19:15","52548","59699"
"03.01.2015 19:15 - 03.01.2015 19:30","52191","59973"
"03.01.2015 19:30 - 03.01.2015 19:45","51750","58896"
"03.01.2015 19:45 - 03.01.2015 20:00","51075","58573"
"03.01.2015 20:00 - 03.01.2015 20:15","50359","57170"
"03.01.2015 20:15 - 03.01.2015 20:30","49404","55794"
"03.01.2015 20:30 - 03.01.2015 20:45","48400","54417"
"03.01.2015 20:45 - 03.01.2015 21:00","47996","53688"
"03.01.2015 21:00 - 03.01.2015 21:15","47723","52960"
"03.01.2015 21:15 - 03.01.2015 21:30","47440","52807"
"03.01.2015 21:30 - 03.01.2015 21:45","47088","52559"
"03.01.2015 21:45 - 03.01.2015 22:00","46858","52561"
"03.01.2015 22:00 - 03.01.2015 22:15","47105","52836"
"03.01.2015 22:15 - 03.01.2015 22:30","47365","53009"
"03.01.2015 22:30 - 03.01.2015 22:45","46976","52348"
"03.01.2015 22:45 - 03.01.2015 23:00","46197","51266"
"03.01.2015 23:00 - 03.01.2015 23:15","45781","50318"
"03.01.2015 23:15 - 03.01.2015 23:30","44411","50079"
"03.01.2015 23:30 - 03.01.2015 23:45","43648","49079"
"03.01.2015 23:45 - 04.01.2015 00:00","43499","48693"
"04.01.2015 00:00 - 04.01.2015 00:15","42918","47380"
"04.01.2015 00:15 - 04.01.2015 00:30","41369","46626"
"04.01.2015 00:30 - 04.01.2015 00:45","40284","46161"
"04.01.2015 00:45 - 04.01.2015 01:00","40007","45537"
"04.01.2015 01:00 - 04.01.2015 01:15","39474","42861"
"04.01.2015 01:15 - 04.01.2015 01:30","39227","42474"
"04.01.2015 01:30 - 04.01.2015 01:45","38851","42012"
"04.01.2015 01:45 - 04.01.2015 02:00","38227","41727"
"04.01.2015 02:00 - 04.01.2015 02:15","38020","41190"
"04.01.2015 02:15 - 04.01.2015 02:30","37795","40915"
"04.01.2015 02:30 - 04.01.2015 02:45","37696","40707"
"04.01.2015 02:45 - 04.01.2015 03:00","37582","40528"
"04.01.2015 03:00 - 04.01.2015 03:15","37944","40282"
"04.01.2015 03:15 - 04.01.2015 03:30","38188","40161"
"04.01.2015 03:30 - 04.01.2015 03:45","38006","40173"
"04.01.2015 03:45 - 04.01.2015 04:00","37745","40239"
"04.01.2015 04:00 - 04.01.2015 04:15","37899","40348"
"04.01.2015 04:15 - 04.01.2015 04:30","37888","40226"
"04.01.2015 04:30 - 04.01.2015 04:45","38076","40325"
"04.01.2015 04:45 - 04.01.2015 05:00","37988","40415"
"04.01.2015 05:00 - 04.01.2015 05:15","37841","40416"
"04.01.2015 05:15 - 04.01.2015 05:30","37606","40046"
"04.01.2015 05:30 - 04.01.2015 05:45","37277","39830"
"04.01.2015 05:45 - 04.01.2015 06:00","36699","39305"
"04.01.2015 06:00 - 04.01.2015 06:15","35956","38627"
"04.01.2015 06:15 - 04.01.2015 06:30","35573","38687"
"04.01.2015 06:30 - 04.01.2015 06:45","35467","39922"
"04.01.2015 06:45 - 04.01.2015 07:00","35355","40029"
"04.01.2015 07:00 - 04.01.2015 07:15","35593","40552"
"04.01.2015 07:15 - 04.01.2015 07:30","35984","40959"
"04.01.2015 07:30 - 04.01.2015 07:45","36693","42550"
"04.01.2015 07:45 - 04.01.2015 08:00","37663","43219"
"04.01.2015 08:00 - 04.01.2015 08:15","38394","43748"
"04.01.2015 08:15 - 04.01.2015 08:30","38993","44251"
"04.01.2015 08:30 - 04.01.2015 08:45","39926","45013"
"04.01.2015 08:45 - 04.01.2015 09:00","40746","45601"
"04.01.2015 09:00 - 04.01.2015 09:15","42249","46634"
"04.01.2015 09:15 - 04.01.2015 09:30","43083","47493"
"04.01.2015 09:30 - 04.01.2015 09:45","43634","48233"
"04.01.2015 09:45 - 04.01.2015 10:00","44259","49074"
"04.01.2015 10:00 - 04.01.2015 10:15","44826","50064"
"04.01.2015 10:15 - 04.01.2015 10:30","45264","50877"
"04.01.2015 10:30 - 04.01.2015 10:45","45790","51586"
"04.01.2015 10:45 - 04.01.2015 11:00","46210","52347"
"04.01.2015 11:00 - 04.01.2015 11:15","47041","53338"
"04.01.2015 11:15 - 04.01.2015 11:30","47778","54453"
"04.01.2015 11:30 - 04.01.2015 11:45","48268","55078"
"04.01.2015 11:45 - 04.01.2015 12:00","48470","55130"
"04.01.2015 12:00 - 04.01.2015 12:15","48666","55063"
"04.01.2015 12:15 - 04.01.2015 12:30","48501","54997"
"04.01.2015 12:30 - 04.01.2015 12:45","48165","54859"
"04.01.2015 12:45 - 04.01.2015 13:00","47761","54337"
"04.01.2015 13:00 - 04.01.2015 13:15","47179","53960"
"04.01.2015 13:15 - 04.01.2015 13:30","46895","53439"
"04.01.2015 13:30 - 04.01.2015 13:45","46429","53113"
"04.01.2015 13:45 - 04.01.2015 14:00","46099","52535"
"04.01.2015 14:00 - 04.01.2015 14:15","45814","52190"
"04.01.2015 14:15 - 04.01.2015 14:30","45231","51590"
"04.01.2015 14:30 - 04.01.2015 14:45","44920","51203"
"04.01.2015 14:45 - 04.01.2015 15:00","44847","51092"
"04.01.2015 15:00 - 04.01.2015 15:15","44866","51303"
"04.01.2015 15:15 - 04.01.2015 15:30","44876","50987"
"04.01.2015 15:30 - 04.01.2015 15:45","44742","50982"
"04.01.2015 15:45 - 04.01.2015 16:00","45029","51178"
"04.01.2015 16:00 - 04.01.2015 16:15","45123","51558"
"04.01.2015 16:15 - 04.01.2015 16:30","45571","52294"
"04.01.2015 16:30 - 04.01.2015 16:45","46273","53611"
"04.01.2015 16:45 - 04.01.2015 17:00","47358","55114"
"04.01.2015 17:00 - 04.01.2015 17:15","48677","56750"
"04.01.2015 17:15 - 04.01.2015 17:30","49828","57529"
"04.01.2015 17:30 - 04.01.2015 17:45","50282","57950"
"04.01.2015 17:45 - 04.01.2015 18:00","50517","58253"
"04.01.2015 18:00 - 04.01.2015 18:15","51257","58849"
"04.01.2015 18:15 - 04.01.2015 18:30","51567","58862"
"04.01.2015 18:30 - 04.01.2015 18:45","51569","58673"
"04.01.2015 18:45 - 04.01.2015 19:00","51378","58488"
"04.01.2015 19:00 - 04.01.2015 19:15","51366","57875"
"04.01.2015 19:15 - 04.01.2015 19:30","50782","57354"
"04.01.2015 19:30 - 04.01.2015 19:45","50349","57184"
"04.01.2015 19:45 - 04.01.2015 20:00","49527","56675"
"04.01.2015 20:00 - 04.01.2015 20:15","48844","55839"
"04.01.2015 20:15 - 04.01.2015 20:30","48107","55108"
"04.01.2015 20:30 - 04.01.2015 20:45","47430","54225"
"04.01.2015 20:45 - 04.01.2015 21:00","46837","53640"
"04.01.2015 21:00 - 04.01.2015 21:15","46863","53301"
"04.01.2015 21:15 - 04.01.2015 21:30","46601","53322"
"04.01.2015 21:30 - 04.01.2015 21:45","46663","53094"
"04.01.2015 21:45 - 04.01.2015 22:00","46859","53156"
"04.01.2015 22:00 - 04.01.2015 22:15","47373","53934"
"04.01.2015 22:15 - 04.01.2015 22:30","47417","53498"
"04.01.2015 22:30 - 04.01.2015 22:45","46808","53050"
"04.01.2015 22:45 - 04.01.2015 23:00","45944","52036"
"04.01.2015 23:00 - 04.01.2015 23:15","45303","51336"
"04.01.2015 23:15 - 04.01.2015 23:30","45041","50366"
"04.01.2015 23:30 - 04.01.2015 23:45","44575","49661"
"04.01.2015 23:45 - 05.01.2015 00:00","43720","48822"
"05.01.2015 00:00 - 05.01.2015 00:15","43815","47721"
"05.01.2015 00:15 - 05.01.2015 00:30","43337","47033"
"05.01.2015 00:30 - 05.01.2015 00:45","42981","46301"
"05.01.2015 00:45 - 05.01.2015 01:00","42571","45617"
"05.01.2015 01:00 - 05.01.2015 01:15","42131","45177"
"05.01.2015 01:15 - 05.01.2015 01:30","41683","44707"
"05.01.2015 01:30 - 05.01.2015 01:45","41289","44439"
"05.01.2015 01:45 - 05.01.2015 02:00","41288","44185"
"05.01.2015 02:00 - 05.01.2015 02:15","40636","43901"
"05.01.2015 02:15 - 05.01.2015 02:30","40446","43687"
"05.01.2015 02:30 - 05.01.2015 02:45","40330","43496"
"05.01.2015 02:45 - 05.01.2015 03:00","40275","43458"
"05.01.2015 03:00 - 05.01.2015 03:15","40383","43595"
"05.01.2015 03:15 - 05.01.2015 03:30","40329","43574"
"05.01.2015 03:30 - 05.01.2015 03:45","40418","43657"
"05.01.2015 03:45 - 05.01.2015 04:00","40487","43907"
"05.01.2015 04:00 - 05.01.2015 04:15","40823","44180"
"05.01.2015 04:15 - 05.01.2015 04:30","41103","44619"
"05.01.2015 04:30 - 05.01.2015 04:45","41508","45234"
"05.01.2015 04:45 - 05.01.2015 05:00","41959","45844"
"05.01.2015 05:00 - 05.01.2015 05:15","42408","47162"
"05.01.2015 05:15 - 05.01.2015 05:30","43243","47751"
"05.01.2015 05:30 - 05.01.2015 05:45","44072","48626"
"05.01.2015 05:45 - 05.01.2015 06:00","44858","49809"
"05.01.2015 06:00 - 05.01.2015 06:15","46786","51632"
"05.01.2015 06:15 - 05.01.2015 06:30","48574","53375"
"05.01.2015 06:30 - 05.01.2015 06:45","49866","55089"
"05.01.2015 06:45 - 05.01.2015 07:00","51056","56732"
"05.01.2015 07:00 - 05.01.2015 07:15","52646","58406"
"05.01.2015 07:15 - 05.01.2015 07:30","53760","59771"
"05.01.2015 07:30 - 05.01.2015 07:45","54438","61106"
"05.01.2015 07:45 - 05.01.2015 08:00","55044","62264"
"05.01.2015 08:00 - 05.01.2015 08:15","56024","63278"
"05.01.2015 08:15 - 05.01.2015 08:30","56169","63609"
"05.01.2015 08:30 - 05.01.2015 08:45","56388","64273"
"05.01.2015 08:45 - 05.01.2015 09:00","56764","64537"
"05.01.2015 09:00 - 05.01.2015 09:15","57106","64734"
"05.01.2015 09:15 - 05.01.2015 09:30","57449","65009"
"05.01.2015 09:30 - 05.01.2015 09:45","57940","65344"
"05.01.2015 09:45 - 05.01.2015 10:00","57729","65540"
"05.01.2015 10:00 - 05.01.2015 10:15","58561","66029"
"05.01.2015 10:15 - 05.01.2015 10:30","58725","66266"
"05.01.2015 10:30 - 05.01.2015 10:45","59392","66674"
"05.01.2015 10:45 - 05.01.2015 11:00","59132","66908"
"05.01.2015 11:00 - 05.01.2015 11:15","59572","67255"
"05.01.2015 11:15 - 05.01.2015 11:30","60154","67615"
"05.01.2015 11:30 - 05.01.2015 11:45","60442","67759"
"05.01.2015 11:45 - 05.01.2015 12:00","60467","67780"
"05.01.2015 12:00 - 05.01.2015 12:15","60279","67556"
