"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2022 00:00 - 01.01.2022 00:15","6152","5910"
"01.01.2022 00:15 - 01.01.2022 00:30","6040","5820"
"01.01.2022 00:30 - 01.01.2022 00:45","5940","5732"
"01.01.2022 00:45 - 01.01.2022 01:00","5840","5641"
"01.01.2022 01:00 - 01.01.2022 01:15","5812","5710"
"01.01.2022 01:15 - 01.01.2022 01:30","5728","5638"
"01.01.2022 01:30 - 01.01.2022 01:45","5656","5556"
"01.01.2022 01:45 - 01.01.2022 02:00","5592","5490"
"01.01.2022 02:00 - 01.01.2022 02:15","5684","5556"
"01.01.2022 02:15 - 01.01.2022 02:30","5624","5493"
"01.01.2022 02:30 - 01.01.2022 02:45","5556","5415"
"01.01.2022 02:45 - 01.01.2022 03:00","5496","5340"
"01.01.2022 03:00 - 01.01.2022 03:15","5452","5299"
"01.01.2022 03:15 - 01.01.2022 03:30","5416","5232"
"01.01.2022 03:30 - 01.01.2022 03:45","5400","5209"
"01.01.2022 03:45 - 01.01.2022 04:00","5384","5177"
"01.01.2022 04:00 - 01.01.2022 04:15","5396","5184"
"01.01.2022 04:15 - 01.01.2022 04:30","5396","5167"
"01.01.2022 04:30 - 01.01.2022 04:45","5404","5172"
"01.01.2022 04:45 - 01.01.2022 05:00","5416","5182"
"01.01.2022 05:00 - 01.01.2022 05:15","5440","5216"
"01.01.2022 05:15 - 01.01.2022 05:30","5464","5226"
"01.01.2022 05:30 - 01.01.2022 05:45","5484","5261"
"01.01.2022 05:45 - 01.01.2022 06:00","5480","5262"
"01.01.2022 06:00 - 01.01.2022 06:15","5456","5204"
"01.01.2022 06:15 - 01.01.2022 06:30","5500","5260"
"01.01.2022 06:30 - 01.01.2022 06:45","5560","5330"
"01.01.2022 06:45 - 01.01.2022 07:00","5632","5400"
"01.01.2022 07:00 - 01.01.2022 07:15","5716","5409"
"01.01.2022 07:15 - 01.01.2022 07:30","5808","5491"
"01.01.2022 07:30 - 01.01.2022 07:45","5896","5571"
"01.01.2022 07:45 - 01.01.2022 08:00","5976","5647"
"01.01.2022 08:00 - 01.01.2022 08:15","6088","5749"
"01.01.2022 08:15 - 01.01.2022 08:30","6184","5829"
"01.01.2022 08:30 - 01.01.2022 08:45","6308","5931"
"01.01.2022 08:45 - 01.01.2022 09:00","6432","6032"
"01.01.2022 09:00 - 01.01.2022 09:15","6584","6144"
"01.01.2022 09:15 - 01.01.2022 09:30","6660","6211"
"01.01.2022 09:30 - 01.01.2022 09:45","6748","6275"
"01.01.2022 09:45 - 01.01.2022 10:00","6812","6336"
"01.01.2022 10:00 - 01.01.2022 10:15","6872","6395"
"01.01.2022 10:15 - 01.01.2022 10:30","6940","6454"
"01.01.2022 10:30 - 01.01.2022 10:45","6988","6507"
"01.01.2022 10:45 - 01.01.2022 11:00","7048","6554"
"01.01.2022 11:00 - 01.01.2022 11:15","7096","6574"
"01.01.2022 11:15 - 01.01.2022 11:30","7164","6625"
"01.01.2022 11:30 - 01.01.2022 11:45","7160","6613"
"01.01.2022 11:45 - 01.01.2022 12:00","7096","6561"
"01.01.2022 12:00 - 01.01.2022 12:15","7108","6573"
"01.01.2022 12:15 - 01.01.2022 12:30","7004","6481"
"01.01.2022 12:30 - 01.01.2022 12:45","6908","6401"
"01.01.2022 12:45 - 01.01.2022 13:00","6828","6342"
"01.01.2022 13:00 - 01.01.2022 13:15","6776","6335"
"01.01.2022 13:15 - 01.01.2022 13:30","6716","6285"
"01.01.2022 13:30 - 01.01.2022 13:45","6652","6236"
"01.01.2022 13:45 - 01.01.2022 14:00","6596","6202"
"01.01.2022 14:00 - 01.01.2022 14:15","6572","6176"
"01.01.2022 14:15 - 01.01.2022 14:30","6536","6154"
"01.01.2022 14:30 - 01.01.2022 14:45","6520","6168"
"01.01.2022 14:45 - 01.01.2022 15:00","6496","6194"
"01.01.2022 15:00 - 01.01.2022 15:15","6508","6223"
"01.01.2022 15:15 - 01.01.2022 15:30","6516","6259"
"01.01.2022 15:30 - 01.01.2022 15:45","6552","6311"
"01.01.2022 15:45 - 01.01.2022 16:00","6604","6356"
"01.01.2022 16:00 - 01.01.2022 16:15","6676","6443"
"01.01.2022 16:15 - 01.01.2022 16:30","6764","6509"
"01.01.2022 16:30 - 01.01.2022 16:45","6868","6632"
"01.01.2022 16:45 - 01.01.2022 17:00","6988","6778"
"01.01.2022 17:00 - 01.01.2022 17:15","7104","6898"
"01.01.2022 17:15 - 01.01.2022 17:30","7172","6936"
"01.01.2022 17:30 - 01.01.2022 17:45","7184","6981"
"01.01.2022 17:45 - 01.01.2022 18:00","7204","7028"
"01.01.2022 18:00 - 01.01.2022 18:15","7244","7046"
"01.01.2022 18:15 - 01.01.2022 18:30","7220","7019"
"01.01.2022 18:30 - 01.01.2022 18:45","7180","7004"
"01.01.2022 18:45 - 01.01.2022 19:00","7136","6956"
"01.01.2022 19:00 - 01.01.2022 19:15","7064","6899"
"01.01.2022 19:15 - 01.01.2022 19:30","7004","6834"
"01.01.2022 19:30 - 01.01.2022 19:45","6956","6795"
"01.01.2022 19:45 - 01.01.2022 20:00","6900","6747"
"01.01.2022 20:00 - 01.01.2022 20:15","6856","6664"
"01.01.2022 20:15 - 01.01.2022 20:30","6776","6554"
"01.01.2022 20:30 - 01.01.2022 20:45","6716","6472"
"01.01.2022 20:45 - 01.01.2022 21:00","6632","6383"
"01.01.2022 21:00 - 01.01.2022 21:15","6556","6279"
"01.01.2022 21:15 - 01.01.2022 21:30","6488","6208"
"01.01.2022 21:30 - 01.01.2022 21:45","6420","6134"
"01.01.2022 21:45 - 01.01.2022 22:00","6412","6103"
"01.01.2022 22:00 - 01.01.2022 22:15","6728","6383"
"01.01.2022 22:15 - 01.01.2022 22:30","6700","6330"
"01.01.2022 22:30 - 01.01.2022 22:45","6592","6207"
"01.01.2022 22:45 - 01.01.2022 23:00","6512","6116"
"01.01.2022 23:00 - 01.01.2022 23:15","6420","6042"
"01.01.2022 23:15 - 01.01.2022 23:30","6304","5902"
"01.01.2022 23:30 - 01.01.2022 23:45","6200","5800"
"01.01.2022 23:45 - 02.01.2022 00:00","6116","5717"
"02.01.2022 00:00 - 02.01.2022 00:15","6028","5711"
"02.01.2022 00:15 - 02.01.2022 00:30","5936","5609"
"02.01.2022 00:30 - 02.01.2022 00:45","5848","5522"
"02.01.2022 00:45 - 02.01.2022 01:00","5752","5430"
"02.01.2022 01:00 - 02.01.2022 01:15","5816","5477"
"02.01.2022 01:15 - 02.01.2022 01:30","5740","5389"
"02.01.2022 01:30 - 02.01.2022 01:45","5660","5326"
"02.01.2022 01:45 - 02.01.2022 02:00","5592","5266"
"02.01.2022 02:00 - 02.01.2022 02:15","5668","5354"
"02.01.2022 02:15 - 02.01.2022 02:30","5608","5316"
"02.01.2022 02:30 - 02.01.2022 02:45","5528","5269"
"02.01.2022 02:45 - 02.01.2022 03:00","5456","5212"
"02.01.2022 03:00 - 02.01.2022 03:15","5420","5198"
"02.01.2022 03:15 - 02.01.2022 03:30","5356","5178"
"02.01.2022 03:30 - 02.01.2022 03:45","5328","5161"
"02.01.2022 03:45 - 02.01.2022 04:00","5300","5154"
"02.01.2022 04:00 - 02.01.2022 04:15","5304","5156"
"02.01.2022 04:15 - 02.01.2022 04:30","5288","5164"
"02.01.2022 04:30 - 02.01.2022 04:45","5288","5186"
"02.01.2022 04:45 - 02.01.2022 05:00","5296","5209"
"02.01.2022 05:00 - 02.01.2022 05:15","5324","5264"
"02.01.2022 05:15 - 02.01.2022 05:30","5328","5295"
"02.01.2022 05:30 - 02.01.2022 05:45","5356","5352"
"02.01.2022 05:45 - 02.01.2022 06:00","5348","5391"
"02.01.2022 06:00 - 02.01.2022 06:15","5276","5395"
"02.01.2022 06:15 - 02.01.2022 06:30","5324","5486"
"02.01.2022 06:30 - 02.01.2022 06:45","5384","5577"
"02.01.2022 06:45 - 02.01.2022 07:00","5448","5675"
"02.01.2022 07:00 - 02.01.2022 07:15","5448","5728"
"02.01.2022 07:15 - 02.01.2022 07:30","5520","5825"
"02.01.2022 07:30 - 02.01.2022 07:45","5600","5933"
"02.01.2022 07:45 - 02.01.2022 08:00","5680","6019"
"02.01.2022 08:00 - 02.01.2022 08:15","5784","6114"
"02.01.2022 08:15 - 02.01.2022 08:30","5868","6220"
"02.01.2022 08:30 - 02.01.2022 08:45","5972","6327"
"02.01.2022 08:45 - 02.01.2022 09:00","6080","6436"
"02.01.2022 09:00 - 02.01.2022 09:15","6204","6505"
"02.01.2022 09:15 - 02.01.2022 09:30","6276","6579"
"02.01.2022 09:30 - 02.01.2022 09:45","6340","6654"
"02.01.2022 09:45 - 02.01.2022 10:00","6396","6704"
"02.01.2022 10:00 - 02.01.2022 10:15","6456","6770"
"02.01.2022 10:15 - 02.01.2022 10:30","6512","6831"
"02.01.2022 10:30 - 02.01.2022 10:45","6560","6877"
"02.01.2022 10:45 - 02.01.2022 11:00","6604","6931"
"02.01.2022 11:00 - 02.01.2022 11:15","6624","6956"
"02.01.2022 11:15 - 02.01.2022 11:30","6676","7012"
"02.01.2022 11:30 - 02.01.2022 11:45","6660","7014"
"02.01.2022 11:45 - 02.01.2022 12:00","6612","6951"
"02.01.2022 12:00 - 02.01.2022 12:15","6632","6937"
"02.01.2022 12:15 - 02.01.2022 12:30","6544","6840"
"02.01.2022 12:30 - 02.01.2022 12:45","6456","6740"
"02.01.2022 12:45 - 02.01.2022 13:00","6388","6688"
"02.01.2022 13:00 - 02.01.2022 13:15","6376","6681"
"02.01.2022 13:15 - 02.01.2022 13:30","6324","6632"
"02.01.2022 13:30 - 02.01.2022 13:45","6272","6594"
"02.01.2022 13:45 - 02.01.2022 14:00","6240","6530"
"02.01.2022 14:00 - 02.01.2022 14:15","6208","6504"
"02.01.2022 14:15 - 02.01.2022 14:30","6184","6472"
"02.01.2022 14:30 - 02.01.2022 14:45","6192","6456"
"02.01.2022 14:45 - 02.01.2022 15:00","6216","6435"
"02.01.2022 15:00 - 02.01.2022 15:15","6240","6442"
"02.01.2022 15:15 - 02.01.2022 15:30","6272","6461"
"02.01.2022 15:30 - 02.01.2022 15:45","6320","6495"
"02.01.2022 15:45 - 02.01.2022 16:00","6368","6526"
"02.01.2022 16:00 - 02.01.2022 16:15","6452","6611"
"02.01.2022 16:15 - 02.01.2022 16:30","6524","6696"
"02.01.2022 16:30 - 02.01.2022 16:45","6652","6802"
"02.01.2022 16:45 - 02.01.2022 17:00","6804","6952"
"02.01.2022 17:00 - 02.01.2022 17:15","6924","7075"
"02.01.2022 17:15 - 02.01.2022 17:30","6960","7137"
"02.01.2022 17:30 - 02.01.2022 17:45","7004","7166"
"02.01.2022 17:45 - 02.01.2022 18:00","7052","7205"
"02.01.2022 18:00 - 02.01.2022 18:15","7072","7249"
"02.01.2022 18:15 - 02.01.2022 18:30","7044","7229"
"02.01.2022 18:30 - 02.01.2022 18:45","7028","7203"
"02.01.2022 18:45 - 02.01.2022 19:00","6976","7176"
"02.01.2022 19:00 - 02.01.2022 19:15","6920","7110"
"02.01.2022 19:15 - 02.01.2022 19:30","6864","7058"
"02.01.2022 19:30 - 02.01.2022 19:45","6828","6990"
"02.01.2022 19:45 - 02.01.2022 20:00","6780","6928"
"02.01.2022 20:00 - 02.01.2022 20:15","6700","6872"
"02.01.2022 20:15 - 02.01.2022 20:30","6596","6769"
"02.01.2022 20:30 - 02.01.2022 20:45","6520","6686"
"02.01.2022 20:45 - 02.01.2022 21:00","6436","6575"
"02.01.2022 21:00 - 02.01.2022 21:15","6344","6475"
"02.01.2022 21:15 - 02.01.2022 21:30","6268","6388"
"02.01.2022 21:30 - 02.01.2022 21:45","6200","6306"
"02.01.2022 21:45 - 02.01.2022 22:00","6172","6280"
"02.01.2022 22:00 - 02.01.2022 22:15","6456","6543"
"02.01.2022 22:15 - 02.01.2022 22:30","6412","6498"
"02.01.2022 22:30 - 02.01.2022 22:45","6300","6381"
"02.01.2022 22:45 - 02.01.2022 23:00","6216","6274"
"02.01.2022 23:00 - 02.01.2022 23:15","6144","6303"
"02.01.2022 23:15 - 02.01.2022 23:30","6004","6182"
"02.01.2022 23:30 - 02.01.2022 23:45","5904","6072"
"02.01.2022 23:45 - 03.01.2022 00:00","5820","5990"
"03.01.2022 00:00 - 03.01.2022 00:15","6464","5902"
"03.01.2022 00:15 - 03.01.2022 00:30","6364","5784"
"03.01.2022 00:30 - 03.01.2022 00:45","6264","5685"
"03.01.2022 00:45 - 03.01.2022 01:00","6172","5595"
"03.01.2022 01:00 - 03.01.2022 01:15","6168","5576"
"03.01.2022 01:15 - 03.01.2022 01:30","6084","5508"
"03.01.2022 01:30 - 03.01.2022 01:45","6016","5434"
"03.01.2022 01:45 - 03.01.2022 02:00","5956","5383"
"03.01.2022 02:00 - 03.01.2022 02:15","6048","5469"
"03.01.2022 02:15 - 03.01.2022 02:30","5996","5418"
"03.01.2022 02:30 - 03.01.2022 02:45","5944","5370"
"03.01.2022 02:45 - 03.01.2022 03:00","5900","5332"
"03.01.2022 03:00 - 03.01.2022 03:15","5892","5326"
"03.01.2022 03:15 - 03.01.2022 03:30","5876","5327"
"03.01.2022 03:30 - 03.01.2022 03:45","5872","5333"
"03.01.2022 03:45 - 03.01.2022 04:00","5880","5351"
"03.01.2022 04:00 - 03.01.2022 04:15","5932","5399"
"03.01.2022 04:15 - 03.01.2022 04:30","5972","5459"
"03.01.2022 04:30 - 03.01.2022 04:45","6040","5532"
"03.01.2022 04:45 - 03.01.2022 05:00","6124","5612"
"03.01.2022 05:00 - 03.01.2022 05:15","6260","5803"
"03.01.2022 05:15 - 03.01.2022 05:30","6388","5958"
"03.01.2022 05:30 - 03.01.2022 05:45","6532","6146"
"03.01.2022 05:45 - 03.01.2022 06:00","6700","6325"
"03.01.2022 06:00 - 03.01.2022 06:15","6840","6539"
"03.01.2022 06:15 - 03.01.2022 06:30","7040","6780"
"03.01.2022 06:30 - 03.01.2022 06:45","7228","7002"
"03.01.2022 06:45 - 03.01.2022 07:00","7408","7194"
