"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2021 00:00 - 01.01.2021 00:15","5936","6406"
"01.01.2021 00:15 - 01.01.2021 00:30","5840","6334"
"01.01.2021 00:30 - 01.01.2021 00:45","5728","6264"
"01.01.2021 00:45 - 01.01.2021 01:00","5632","6192"
"01.01.2021 01:00 - 01.01.2021 01:15","5612","6178"
"01.01.2021 01:15 - 01.01.2021 01:30","5524","6101"
"01.01.2021 01:30 - 01.01.2021 01:45","5452","6009"
"01.01.2021 01:45 - 01.01.2021 02:00","5392","5940"
"01.01.2021 02:00 - 01.01.2021 02:15","5500","6002"
"01.01.2021 02:15 - 01.01.2021 02:30","5440","5924"
"01.01.2021 02:30 - 01.01.2021 02:45","5376","5845"
"01.01.2021 02:45 - 01.01.2021 03:00","5328","5785"
"01.01.2021 03:00 - 01.01.2021 03:15","5316","5707"
"01.01.2021 03:15 - 01.01.2021 03:30","5276","5663"
"01.01.2021 03:30 - 01.01.2021 03:45","5260","5611"
"01.01.2021 03:45 - 01.01.2021 04:00","5252","5586"
"01.01.2021 04:00 - 01.01.2021 04:15","5276","5582"
"01.01.2021 04:15 - 01.01.2021 04:30","5284","5584"
"01.01.2021 04:30 - 01.01.2021 04:45","5316","5600"
"01.01.2021 04:45 - 01.01.2021 05:00","5340","5618"
"01.01.2021 05:00 - 01.01.2021 05:15","5408","5700"
"01.01.2021 05:15 - 01.01.2021 05:30","5444","5738"
"01.01.2021 05:30 - 01.01.2021 05:45","5492","5820"
"01.01.2021 05:45 - 01.01.2021 06:00","5536","5801"
"01.01.2021 06:00 - 01.01.2021 06:15","5528","5765"
"01.01.2021 06:15 - 01.01.2021 06:30","5600","5845"
"01.01.2021 06:30 - 01.01.2021 06:45","5684","5860"
"01.01.2021 06:45 - 01.01.2021 07:00","5772","5896"
"01.01.2021 07:00 - 01.01.2021 07:15","5844","5993"
"01.01.2021 07:15 - 01.01.2021 07:30","5936","6075"
"01.01.2021 07:30 - 01.01.2021 07:45","6028","6120"
"01.01.2021 07:45 - 01.01.2021 08:00","6096","6134"
"01.01.2021 08:00 - 01.01.2021 08:15","6176","6188"
"01.01.2021 08:15 - 01.01.2021 08:30","6260","6262"
"01.01.2021 08:30 - 01.01.2021 08:45","6360","6301"
"01.01.2021 08:45 - 01.01.2021 09:00","6448","6400"
"01.01.2021 09:00 - 01.01.2021 09:15","6544","6486"
"01.01.2021 09:15 - 01.01.2021 09:30","6612","6538"
"01.01.2021 09:30 - 01.01.2021 09:45","6672","6596"
"01.01.2021 09:45 - 01.01.2021 10:00","6732","6658"
"01.01.2021 10:00 - 01.01.2021 10:15","6788","6750"
"01.01.2021 10:15 - 01.01.2021 10:30","6840","6825"
"01.01.2021 10:30 - 01.01.2021 10:45","6884","6912"
"01.01.2021 10:45 - 01.01.2021 11:00","6936","6957"
"01.01.2021 11:00 - 01.01.2021 11:15","6980","6976"
"01.01.2021 11:15 - 01.01.2021 11:30","7044","7086"
"01.01.2021 11:30 - 01.01.2021 11:45","7028","7083"
"01.01.2021 11:45 - 01.01.2021 12:00","6976","7055"
"01.01.2021 12:00 - 01.01.2021 12:15","6952","7058"
"01.01.2021 12:15 - 01.01.2021 12:30","6844","7000"
"01.01.2021 12:30 - 01.01.2021 12:45","6744","6946"
"01.01.2021 12:45 - 01.01.2021 13:00","6668","6886"
