"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Austria (AT)","Actual Total Load [MW] - Austria (AT)"
"01.01.2015 00:00 - 01.01.2015 00:15","6794","6168"
"01.01.2015 00:15 - 01.01.2015 00:30","6757","6088"
"01.01.2015 00:30 - 01.01.2015 00:45","6791","6060"
"01.01.2015 00:45 - 01.01.2015 01:00","6750","5958"
"01.01.2015 01:00 - 01.01.2015 01:15","6737","6017"
"01.01.2015 01:15 - 01.01.2015 01:30","6692","5967"
"01.01.2015 01:30 - 01.01.2015 01:45","6722","5936"
"01.01.2015 01:45 - 01.01.2015 02:00","6690","5934"
"01.01.2015 02:00 - 01.01.2015 02:15","6633","5751"
"01.01.2015 02:15 - 01.01.2015 02:30","6573","5778"
"01.01.2015 02:30 - 01.01.2015 02:45","6602","5746"
"01.01.2015 02:45 - 01.01.2015 03:00","6564","5630"
"01.01.2015 03:00 - 01.01.2015 03:15","6508","5407"
"01.01.2015 03:15 - 01.01.2015 03:30","6468","5337"
"01.01.2015 03:30 - 01.01.2015 03:45","6486","5290"
"01.01.2015 03:45 - 01.01.2015 04:00","6465","5354"
"01.01.2015 04:00 - 01.01.2015 04:15","6445","5285"
"01.01.2015 04:15 - 01.01.2015 04:30","6447","5225"
"01.01.2015 04:30 - 01.01.2015 04:45","6452","5230"
"01.01.2015 04:45 - 01.01.2015 05:00","6471","5256"
"01.01.2015 05:00 - 01.01.2015 05:15","6587","5280"
"01.01.2015 05:15 - 01.01.2015 05:30","6635","5297"
"01.01.2015 05:30 - 01.01.2015 05:45","6609","5308"
"01.01.2015 05:45 - 01.01.2015 06:00","6604","5349"
"01.01.2015 06:00 - 01.01.2015 06:15","6502","5420"
"01.01.2015 06:15 - 01.01.2015 06:30","6551","5563"
"01.01.2015 06:30 - 01.01.2015 06:45","6524","5606"
"01.01.2015 06:45 - 01.01.2015 07:00","6596","5710"
"01.01.2015 07:00 - 01.01.2015 07:15","6824","5900"
"01.01.2015 07:15 - 01.01.2015 07:30","6883","5884"
"01.01.2015 07:30 - 01.01.2015 07:45","6832","5934"
"01.01.2015 07:45 - 01.01.2015 08:00","6866","5984"
"01.01.2015 08:00 - 01.01.2015 08:15","7010","6186"
"01.01.2015 08:15 - 01.01.2015 08:30","7059","6350"
"01.01.2015 08:30 - 01.01.2015 08:45","7064","6348"
"01.01.2015 08:45 - 01.01.2015 09:00","7112","6488"
"01.01.2015 09:00 - 01.01.2015 09:15","7155","6675"
"01.01.2015 09:15 - 01.01.2015 09:30","7237","6867"
"01.01.2015 09:30 - 01.01.2015 09:45","7252","6959"
"01.01.2015 09:45 - 01.01.2015 10:00","7286","7026"
"01.01.2015 10:00 - 01.01.2015 10:15","7404","6901"
"01.01.2015 10:15 - 01.01.2015 10:30","7462","6964"
"01.01.2015 10:30 - 01.01.2015 10:45","7449","6977"
"01.01.2015 10:45 - 01.01.2015 11:00","7489","7010"
"01.01.2015 11:00 - 01.01.2015 11:15","7522","7086"
"01.01.2015 11:15 - 01.01.2015 11:30","7580","7046"
"01.01.2015 11:30 - 01.01.2015 11:45","7557","7082"
"01.01.2015 11:45 - 01.01.2015 12:00","7528","7226"
"01.01.2015 12:00 - 01.01.2015 12:15","7529","7218"
"01.01.2015 12:15 - 01.01.2015 12:30","7443","7132"
"01.01.2015 12:30 - 01.01.2015 12:45","7435","7078"
"01.01.2015 12:45 - 01.01.2015 13:00","7409","7116"
"01.01.2015 13:00 - 01.01.2015 13:15","7427","7066"
"01.01.2015 13:15 - 01.01.2015 13:30","7387","6985"
"01.01.2015 13:30 - 01.01.2015 13:45","7392","6977"
"01.01.2015 13:45 - 01.01.2015 14:00","7358","7025"
"01.01.2015 14:00 - 01.01.2015 14:15","7354","6941"
"01.01.2015 14:15 - 01.01.2015 14:30","7301","6722"
"01.01.2015 14:30 - 01.01.2015 14:45","7308","6690"
"01.01.2015 14:45 - 01.01.2015 15:00","7302","6586"
"01.01.2015 15:00 - 01.01.2015 15:15","7243","6508"
"01.01.2015 15:15 - 01.01.2015 15:30","7238","6528"
"01.01.2015 15:30 - 01.01.2015 15:45","7258","6605"
"01.01.2015 15:45 - 01.01.2015 16:00","7265","6532"
"01.01.2015 16:00 - 01.01.2015 16:15","7366","6656"
"01.01.2015 16:15 - 01.01.2015 16:30","7448","6735"
"01.01.2015 16:30 - 01.01.2015 16:45","7504","6542"
"01.01.2015 16:45 - 01.01.2015 17:00","7586","6480"
"01.01.2015 17:00 - 01.01.2015 17:15","7697","6802"
"01.01.2015 17:15 - 01.01.2015 17:30","7769","6732"
"01.01.2015 17:30 - 01.01.2015 17:45","7780","6645"
"01.01.2015 17:45 - 01.01.2015 18:00","7765","6759"
"01.01.2015 18:00 - 01.01.2015 18:15","7735","6665"
"01.01.2015 18:15 - 01.01.2015 18:30","7687","6599"
"01.01.2015 18:30 - 01.01.2015 18:45","7712","6641"
"01.01.2015 18:45 - 01.01.2015 19:00","7669","6598"
"01.01.2015 19:00 - 01.01.2015 19:15","7534","6749"
"01.01.2015 19:15 - 01.01.2015 19:30","7493","6705"
"01.01.2015 19:30 - 01.01.2015 19:45","7477","6779"
"01.01.2015 19:45 - 01.01.2015 20:00","7430","6721"
"01.01.2015 20:00 - 01.01.2015 20:15","7289","6613"
"01.01.2015 20:15 - 01.01.2015 20:30","7242","6622"
"01.01.2015 20:30 - 01.01.2015 20:45","7212","6727"
"01.01.2015 20:45 - 01.01.2015 21:00","7147","6654"
"01.01.2015 21:00 - 01.01.2015 21:15","7057","6342"
"01.01.2015 21:15 - 01.01.2015 21:30","6989","6292"
"01.01.2015 21:30 - 01.01.2015 21:45","6938","6182"
"01.01.2015 21:45 - 01.01.2015 22:00","6945","6204"
"01.01.2015 22:00 - 01.01.2015 22:15","7126","6128"
"01.01.2015 22:15 - 01.01.2015 22:30","7102","6228"
"01.01.2015 22:30 - 01.01.2015 22:45","7052","6246"
"01.01.2015 22:45 - 01.01.2015 23:00","6975","6284"
"01.01.2015 23:00 - 01.01.2015 23:15","6966","6104"
"01.01.2015 23:15 - 01.01.2015 23:30","6841","5791"
"01.01.2015 23:30 - 01.01.2015 23:45","6893","5786"
"01.01.2015 23:45 - 02.01.2015 00:00","6871","5775"
"02.01.2015 00:00 - 02.01.2015 00:15","6564","5651"
"02.01.2015 00:15 - 02.01.2015 00:30","6515","5521"
"02.01.2015 00:30 - 02.01.2015 00:45","6536","5427"
"02.01.2015 00:45 - 02.01.2015 01:00","6479","5534"
"02.01.2015 01:00 - 02.01.2015 01:15","6441","5241"
"02.01.2015 01:15 - 02.01.2015 01:30","6371","5154"
"02.01.2015 01:30 - 02.01.2015 01:45","6411","5200"
"02.01.2015 01:45 - 02.01.2015 02:00","6355","5226"
"02.01.2015 02:00 - 02.01.2015 02:15","6391","4978"
"02.01.2015 02:15 - 02.01.2015 02:30","6360","4984"
"02.01.2015 02:30 - 02.01.2015 02:45","6370","5004"
"02.01.2015 02:45 - 02.01.2015 03:00","6314","4919"
"02.01.2015 03:00 - 02.01.2015 03:15","6348","4761"
"02.01.2015 03:15 - 02.01.2015 03:30","6330","4675"
"02.01.2015 03:30 - 02.01.2015 03:45","6352","4615"
"02.01.2015 03:45 - 02.01.2015 04:00","6364","4624"
"02.01.2015 04:00 - 02.01.2015 04:15","6377","4729"
"02.01.2015 04:15 - 02.01.2015 04:30","6422","4761"
"02.01.2015 04:30 - 02.01.2015 04:45","6427","4738"
"02.01.2015 04:45 - 02.01.2015 05:00","6500","4794"
"02.01.2015 05:00 - 02.01.2015 05:15","6675","4992"
"02.01.2015 05:15 - 02.01.2015 05:30","6823","5145"
"02.01.2015 05:30 - 02.01.2015 05:45","6837","5084"
"02.01.2015 05:45 - 02.01.2015 06:00","6960","5101"
"02.01.2015 06:00 - 02.01.2015 06:15","7073","5420"
"02.01.2015 06:15 - 02.01.2015 06:30","7311","5455"
"02.01.2015 06:30 - 02.01.2015 06:45","7376","5416"
"02.01.2015 06:45 - 02.01.2015 07:00","7524","5396"
"02.01.2015 07:00 - 02.01.2015 07:15","7946","5844"
"02.01.2015 07:15 - 02.01.2015 07:30","8078","5817"
"02.01.2015 07:30 - 02.01.2015 07:45","8074","5783"
"02.01.2015 07:45 - 02.01.2015 08:00","8133","5978"
"02.01.2015 08:00 - 02.01.2015 08:15","8250","6441"
"02.01.2015 08:15 - 02.01.2015 08:30","8281","6473"
"02.01.2015 08:30 - 02.01.2015 08:45","8280","6350"
"02.01.2015 08:45 - 02.01.2015 09:00","8314","6200"
"02.01.2015 09:00 - 02.01.2015 09:15","8212","6376"
"02.01.2015 09:15 - 02.01.2015 09:30","8253","6451"
"02.01.2015 09:30 - 02.01.2015 09:45","8253","6427"
"02.01.2015 09:45 - 02.01.2015 10:00","8251","6471"
"02.01.2015 10:00 - 02.01.2015 10:15","8218","6658"
"02.01.2015 10:15 - 02.01.2015 10:30","8234","6699"
"02.01.2015 10:30 - 02.01.2015 10:45","8243","6673"
"02.01.2015 10:45 - 02.01.2015 11:00","8265","6767"
"02.01.2015 11:00 - 02.01.2015 11:15","8220","6743"
"02.01.2015 11:15 - 02.01.2015 11:30","8240","6496"
"02.01.2015 11:30 - 02.01.2015 11:45","8225","6495"
"02.01.2015 11:45 - 02.01.2015 12:00","8184","6437"
"02.01.2015 12:00 - 02.01.2015 12:15","8125","6296"
"02.01.2015 12:15 - 02.01.2015 12:30","8012","6288"
"02.01.2015 12:30 - 02.01.2015 12:45","7992","6295"
"02.01.2015 12:45 - 02.01.2015 13:00","7940","6364"
"02.01.2015 13:00 - 02.01.2015 13:15","7876","6250"
"02.01.2015 13:15 - 02.01.2015 13:30","7854","6299"
"02.01.2015 13:30 - 02.01.2015 13:45","7819","6232"
"02.01.2015 13:45 - 02.01.2015 14:00","7791","6249"
"02.01.2015 14:00 - 02.01.2015 14:15","7821","6276"
"02.01.2015 14:15 - 02.01.2015 14:30","7788","6287"
"02.01.2015 14:30 - 02.01.2015 14:45","7777","6331"
"02.01.2015 14:45 - 02.01.2015 15:00","7768","6333"
"02.01.2015 15:00 - 02.01.2015 15:15","7853","6301"
"02.01.2015 15:15 - 02.01.2015 15:30","7862","6496"
"02.01.2015 15:30 - 02.01.2015 15:45","7845","6582"
"02.01.2015 15:45 - 02.01.2015 16:00","7841","6628"
"02.01.2015 16:00 - 02.01.2015 16:15","8065","7055"
"02.01.2015 16:15 - 02.01.2015 16:30","8150","7123"
"02.01.2015 16:30 - 02.01.2015 16:45","8193","6852"
"02.01.2015 16:45 - 02.01.2015 17:00","8251","6525"
"02.01.2015 17:00 - 02.01.2015 17:15","8441","6166"
"02.01.2015 17:15 - 02.01.2015 17:30","8471","6034"
"02.01.2015 17:30 - 02.01.2015 17:45","8504","5970"
"02.01.2015 17:45 - 02.01.2015 18:00","8478","5719"
"02.01.2015 18:00 - 02.01.2015 18:15","8369","6119"
