"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2019 00:00 - 01.01.2019 00:15","43769","43931"
"01.01.2019 00:15 - 01.01.2019 00:30","43572","43459"
"01.01.2019 00:30 - 01.01.2019 00:45","43025","42951"
"01.01.2019 00:45 - 01.01.2019 01:00","42487","42721"
"01.01.2019 01:00 - 01.01.2019 01:15","41978","42396"
"01.01.2019 01:15 - 01.01.2019 01:30","41481","41905"
"01.01.2019 01:30 - 01.01.2019 01:45","40956","41431"
"01.01.2019 01:45 - 01.01.2019 02:00","40688","40884"
"01.01.2019 02:00 - 01.01.2019 02:15","40384","40584"
"01.01.2019 02:15 - 01.01.2019 02:30","40156","40204"
"01.01.2019 02:30 - 01.01.2019 02:45","40122","39935"
"01.01.2019 02:45 - 01.01.2019 03:00","40088","39732"
"01.01.2019 03:00 - 01.01.2019 03:15","39911","39573"
"01.01.2019 03:15 - 01.01.2019 03:30","39866","39249"
"01.01.2019 03:30 - 01.01.2019 03:45","39936","39225"
"01.01.2019 03:45 - 01.01.2019 04:00","39923","39205"
"01.01.2019 04:00 - 01.01.2019 04:15","40077","39205"
"01.01.2019 04:15 - 01.01.2019 04:30","40235","39140"
"01.01.2019 04:30 - 01.01.2019 04:45","40329","39099"
"01.01.2019 04:45 - 01.01.2019 05:00","40391","38945"
"01.01.2019 05:00 - 01.01.2019 05:15","40666","38962"
"01.01.2019 05:15 - 01.01.2019 05:30","40500","38681"
"01.01.2019 05:30 - 01.01.2019 05:45","40556","38604"
"01.01.2019 05:45 - 01.01.2019 06:00","40474","38291"
"01.01.2019 06:00 - 01.01.2019 06:15","40006","37943"
"01.01.2019 06:15 - 01.01.2019 06:30","40324","37959"
"01.01.2019 06:30 - 01.01.2019 06:45","40564","38124"
"01.01.2019 06:45 - 01.01.2019 07:00","40867","38459"
"01.01.2019 07:00 - 01.01.2019 07:15","41525","38592"
"01.01.2019 07:15 - 01.01.2019 07:30","41872","38815"
"01.01.2019 07:30 - 01.01.2019 07:45","43367","38876"
"01.01.2019 07:45 - 01.01.2019 08:00","44210","39216"
"01.01.2019 08:00 - 01.01.2019 08:15","45432","39269"
"01.01.2019 08:15 - 01.01.2019 08:30","45508","39416"
"01.01.2019 08:30 - 01.01.2019 08:45","45981","39850"
"01.01.2019 08:45 - 01.01.2019 09:00","46523","40235"
"01.01.2019 09:00 - 01.01.2019 09:15","47770","41175"
"01.01.2019 09:15 - 01.01.2019 09:30","48702","41849"
"01.01.2019 09:30 - 01.01.2019 09:45","49191","42638"
"01.01.2019 09:45 - 01.01.2019 10:00","49505","43280"
"01.01.2019 10:00 - 01.01.2019 10:15","50058","44042"
"01.01.2019 10:15 - 01.01.2019 10:30","50685","44640"
"01.01.2019 10:30 - 01.01.2019 10:45","50903","45256"
"01.01.2019 10:45 - 01.01.2019 11:00","51736","45761"
"01.01.2019 11:00 - 01.01.2019 11:15","52116","46806"
"01.01.2019 11:15 - 01.01.2019 11:30","52792","47599"
"01.01.2019 11:30 - 01.01.2019 11:45","53530","48291"
"01.01.2019 11:45 - 01.01.2019 12:00","54019","48469"
"01.01.2019 12:00 - 01.01.2019 12:15","53272","48945"
"01.01.2019 12:15 - 01.01.2019 12:30","53430","49205"
"01.01.2019 12:30 - 01.01.2019 12:45","52745","49135"
"01.01.2019 12:45 - 01.01.2019 13:00","52196","49207"
"01.01.2019 13:00 - 01.01.2019 13:15","51567","49000"
"01.01.2019 13:15 - 01.01.2019 13:30","50919","48756"
"01.01.2019 13:30 - 01.01.2019 13:45","50679","48749"
"01.01.2019 13:45 - 01.01.2019 14:00","49845","48664"
"01.01.2019 14:00 - 01.01.2019 14:15","49755","48697"
"01.01.2019 14:15 - 01.01.2019 14:30","48901","48508"
"01.01.2019 14:30 - 01.01.2019 14:45","49140","48496"
"01.01.2019 14:45 - 01.01.2019 15:00","49448","48436"
"01.01.2019 15:00 - 01.01.2019 15:15","49573","48881"
"01.01.2019 15:15 - 01.01.2019 15:30","48991","48953"
"01.01.2019 15:30 - 01.01.2019 15:45","49223","49010"
"01.01.2019 15:45 - 01.01.2019 16:00","49148","49022"
"01.01.2019 16:00 - 01.01.2019 16:15","49763","49494"
"01.01.2019 16:15 - 01.01.2019 16:30","50689","50043"
"01.01.2019 16:30 - 01.01.2019 16:45","51389","51136"
"01.01.2019 16:45 - 01.01.2019 17:00","51647","52096"
"01.01.2019 17:00 - 01.01.2019 17:15","52960","53250"
"01.01.2019 17:15 - 01.01.2019 17:30","53621","53679"
"01.01.2019 17:30 - 01.01.2019 17:45","54419","54147"
"01.01.2019 17:45 - 01.01.2019 18:00","54430","54508"
"01.01.2019 18:00 - 01.01.2019 18:15","54695","54686"
"01.01.2019 18:15 - 01.01.2019 18:30","54933","54708"
"01.01.2019 18:30 - 01.01.2019 18:45","54783","54661"
"01.01.2019 18:45 - 01.01.2019 19:00","54669","54599"
"01.01.2019 19:00 - 01.01.2019 19:15","54284","54429"
"01.01.2019 19:15 - 01.01.2019 19:30","53696","53911"
"01.01.2019 19:30 - 01.01.2019 19:45","53138","53447"
"01.01.2019 19:45 - 01.01.2019 20:00","52626","52817"
"01.01.2019 20:00 - 01.01.2019 20:15","52110","52202"
"01.01.2019 20:15 - 01.01.2019 20:30","51008","51728"
"01.01.2019 20:30 - 01.01.2019 20:45","50328","51051"
