"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","2937","0"
"01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","2843","0"
"01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","2780","0"
"01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","2713","0"
"01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","2686","0"
"01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","2688","0"
"01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","2742","0"
"01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","2863","0"
"01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","2935","0"
"01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","3090","0"
"01.01.2016 10:00 - 01.01.2016 11:00 (CET/CEST)","3156","0"
"01.01.2016 11:00 - 01.01.2016 12:00 (CET/CEST)","3277","0"
"01.01.2016 12:00 - 01.01.2016 13:00 (CET/CEST)","3503","0"
"01.01.2016 13:00 - 01.01.2016 14:00 (CET/CEST)","3414","0"
"01.01.2016 14:00 - 01.01.2016 15:00 (CET/CEST)","3214","0"
"01.01.2016 15:00 - 01.01.2016 16:00 (CET/CEST)","3216","0"
"01.01.2016 16:00 - 01.01.2016 17:00 (CET/CEST)","3597","0"
"01.01.2016 17:00 - 01.01.2016 18:00 (CET/CEST)","3995","0"
"01.01.2016 18:00 - 01.01.2016 19:00 (CET/CEST)","4108","0"
"01.01.2016 19:00 - 01.01.2016 20:00 (CET/CEST)","4028","0"
"01.01.2016 20:00 - 01.01.2016 21:00 (CET/CEST)","4038","0"
"01.01.2016 21:00 - 01.01.2016 22:00 (CET/CEST)","3493","0"
"01.01.2016 22:00 - 01.01.2016 23:00 (CET/CEST)","3439","0"
"01.01.2016 23:00 - 02.01.2016 00:00 (CET/CEST)","2939","0"
"02.01.2016 00:00 - 02.01.2016 01:00 (CET/CEST)","2983","0"
"02.01.2016 01:00 - 02.01.2016 02:00 (CET/CEST)","2890","0"
"02.01.2016 02:00 - 02.01.2016 03:00 (CET/CEST)","2807","0"
"02.01.2016 03:00 - 02.01.2016 04:00 (CET/CEST)","2815","0"
"02.01.2016 04:00 - 02.01.2016 05:00 (CET/CEST)","2879","0"
"02.01.2016 05:00 - 02.01.2016 06:00 (CET/CEST)","3085","0"
"02.01.2016 06:00 - 02.01.2016 07:00 (CET/CEST)","3450","0"
"02.01.2016 07:00 - 02.01.2016 08:00 (CET/CEST)","3648","0"
"02.01.2016 08:00 - 02.01.2016 09:00 (CET/CEST)","3860","0"
"02.01.2016 09:00 - 02.01.2016 10:00 (CET/CEST)","4041","0"
"02.01.2016 10:00 - 02.01.2016 11:00 (CET/CEST)","4121","0"
"02.01.2016 11:00 - 02.01.2016 12:00 (CET/CEST)","4152","0"
"02.01.2016 12:00 - 02.01.2016 13:00 (CET/CEST)","4145","0"
"02.01.2016 13:00 - 02.01.2016 14:00 (CET/CEST)","4033","0"
"02.01.2016 14:00 - 02.01.2016 15:00 (CET/CEST)","4190","0"
"02.01.2016 15:00 - 02.01.2016 16:00 (CET/CEST)","4225","0"
"02.01.2016 16:00 - 02.01.2016 17:00 (CET/CEST)","4499","0"
"02.01.2016 17:00 - 02.01.2016 18:00 (CET/CEST)","4815","0"
"02.01.2016 18:00 - 02.01.2016 19:00 (CET/CEST)","4978","0"
"02.01.2016 19:00 - 02.01.2016 20:00 (CET/CEST)","4658","0"
"02.01.2016 20:00 - 02.01.2016 21:00 (CET/CEST)","4460","0"
"02.01.2016 21:00 - 02.01.2016 22:00 (CET/CEST)","4199","0"
"02.01.2016 22:00 - 02.01.2016 23:00 (CET/CEST)","3788","0"
"02.01.2016 23:00 - 03.01.2016 00:00 (CET/CEST)","3575","0"
"03.01.2016 00:00 - 03.01.2016 01:00 (CET/CEST)","3600","0"
"03.01.2016 01:00 - 03.01.2016 02:00 (CET/CEST)","3548","0"
"03.01.2016 02:00 - 03.01.2016 03:00 (CET/CEST)","3461","0"
"03.01.2016 03:00 - 03.01.2016 04:00 (CET/CEST)","3390","0"
"03.01.2016 04:00 - 03.01.2016 05:00 (CET/CEST)","3327","0"
"03.01.2016 05:00 - 03.01.2016 06:00 (CET/CEST)","3295","0"
"03.01.2016 06:00 - 03.01.2016 07:00 (CET/CEST)","3329","0"
"03.01.2016 07:00 - 03.01.2016 08:00 (CET/CEST)","3498","0"
"03.01.2016 08:00 - 03.01.2016 09:00 (CET/CEST)","3557","0"
"03.01.2016 09:00 - 03.01.2016 10:00 (CET/CEST)","3620","0"
"03.01.2016 10:00 - 03.01.2016 11:00 (CET/CEST)","3642","0"
"03.01.2016 11:00 - 03.01.2016 12:00 (CET/CEST)","3614","0"
"03.01.2016 12:00 - 03.01.2016 13:00 (CET/CEST)","3664","0"
"03.01.2016 13:00 - 03.01.2016 14:00 (CET/CEST)","3677","0"
"03.01.2016 14:00 - 03.01.2016 15:00 (CET/CEST)","3627","0"
