"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2021 00:00 - 01.01.2021 01:00 (CET/CEST)","4446","0"
"01.01.2021 01:00 - 01.01.2021 02:00 (CET/CEST)","4275","0"
"01.01.2021 02:00 - 01.01.2021 03:00 (CET/CEST)","4217","0"
"01.01.2021 03:00 - 01.01.2021 04:00 (CET/CEST)","4061","0"
"01.01.2021 04:00 - 01.01.2021 05:00 (CET/CEST)","3827","0"
"01.01.2021 05:00 - 01.01.2021 06:00 (CET/CEST)","3923","0"
"01.01.2021 06:00 - 01.01.2021 07:00 (CET/CEST)","3991","0"
"01.01.2021 07:00 - 01.01.2021 08:00 (CET/CEST)","4161","0"
"01.01.2021 08:00 - 01.01.2021 09:00 (CET/CEST)","4431","0"
"01.01.2021 09:00 - 01.01.2021 10:00 (CET/CEST)","4532","0"
"01.01.2021 10:00 - 01.01.2021 11:00 (CET/CEST)","4621","0"
"01.01.2021 11:00 - 01.01.2021 12:00 (CET/CEST)","4715","0"
"01.01.2021 12:00 - 01.01.2021 13:00 (CET/CEST)","4790","0"
"01.01.2021 13:00 - 01.01.2021 14:00 (CET/CEST)","4707","0"
"01.01.2021 14:00 - 01.01.2021 15:00 (CET/CEST)","4565","0"
"01.01.2021 15:00 - 01.01.2021 16:00 (CET/CEST)","4540","0"
"01.01.2021 16:00 - 01.01.2021 17:00 (CET/CEST)","4824","0"
"01.01.2021 17:00 - 01.01.2021 18:00 (CET/CEST)","5923","0"
"01.01.2021 18:00 - 01.01.2021 19:00 (CET/CEST)","5927","0"
"01.01.2021 19:00 - 01.01.2021 20:00 (CET/CEST)","5981","0"
"01.01.2021 20:00 - 01.01.2021 21:00 (CET/CEST)","5258","0"
"01.01.2021 21:00 - 01.01.2021 22:00 (CET/CEST)","4834","0"
"01.01.2021 22:00 - 01.01.2021 23:00 (CET/CEST)","4618","0"
"01.01.2021 23:00 - 02.01.2021 00:00 (CET/CEST)","4514","0"
"02.01.2021 00:00 - 02.01.2021 01:00 (CET/CEST)","4543","0"
"02.01.2021 01:00 - 02.01.2021 02:00 (CET/CEST)","4448","0"
"02.01.2021 02:00 - 02.01.2021 03:00 (CET/CEST)","4351","0"
"02.01.2021 03:00 - 02.01.2021 04:00 (CET/CEST)","4246","0"
"02.01.2021 04:00 - 02.01.2021 05:00 (CET/CEST)","4265","0"
"02.01.2021 05:00 - 02.01.2021 06:00 (CET/CEST)","4445","0"
"02.01.2021 06:00 - 02.01.2021 07:00 (CET/CEST)","4841","0"
"02.01.2021 07:00 - 02.01.2021 08:00 (CET/CEST)","5240","0"
"02.01.2021 08:00 - 02.01.2021 09:00 (CET/CEST)","5490","0"
"02.01.2021 09:00 - 02.01.2021 10:00 (CET/CEST)","5530","0"
"02.01.2021 10:00 - 02.01.2021 11:00 (CET/CEST)","5616","0"
"02.01.2021 11:00 - 02.01.2021 12:00 (CET/CEST)","5678","0"
"02.01.2021 12:00 - 02.01.2021 13:00 (CET/CEST)","5696","0"
"02.01.2021 13:00 - 02.01.2021 14:00 (CET/CEST)","5650","0"
"02.01.2021 14:00 - 02.01.2021 15:00 (CET/CEST)","5587","0"
"02.01.2021 15:00 - 02.01.2021 16:00 (CET/CEST)","5701","0"
"02.01.2021 16:00 - 02.01.2021 17:00 (CET/CEST)","6348","0"
"02.01.2021 17:00 - 02.01.2021 18:00 (CET/CEST)","7555","0"
"02.01.2021 18:00 - 02.01.2021 19:00 (CET/CEST)","7722","0"
"02.01.2021 19:00 - 02.01.2021 20:00 (CET/CEST)","7595","0"
"02.01.2021 20:00 - 02.01.2021 21:00 (CET/CEST)","6212","0"
"02.01.2021 21:00 - 02.01.2021 22:00 (CET/CEST)","5819","0"
"02.01.2021 22:00 - 02.01.2021 23:00 (CET/CEST)","5660","0"
"02.01.2021 23:00 - 03.01.2021 00:00 (CET/CEST)","5614","0"
"03.01.2021 00:00 - 03.01.2021 01:00 (CET/CEST)","5502","0"
"03.01.2021 01:00 - 03.01.2021 02:00 (CET/CEST)","5388","0"
"03.01.2021 02:00 - 03.01.2021 03:00 (CET/CEST)","5141","0"
"03.01.2021 03:00 - 03.01.2021 04:00 (CET/CEST)","4886","0"
"03.01.2021 04:00 - 03.01.2021 05:00 (CET/CEST)","4796","0"
"03.01.2021 05:00 - 03.01.2021 06:00 (CET/CEST)","4611","0"
"03.01.2021 06:00 - 03.01.2021 07:00 (CET/CEST)","4282","0"
"03.01.2021 07:00 - 03.01.2021 08:00 (CET/CEST)","4323","0"
"03.01.2021 08:00 - 03.01.2021 09:00 (CET/CEST)","4750","0"
"03.01.2021 09:00 - 03.01.2021 10:00 (CET/CEST)","5182","0"
"03.01.2021 10:00 - 03.01.2021 11:00 (CET/CEST)","5480","0"
"03.01.2021 11:00 - 03.01.2021 12:00 (CET/CEST)","5632","0"
"03.01.2021 12:00 - 03.01.2021 13:00 (CET/CEST)","5539","0"
"03.01.2021 13:00 - 03.01.2021 14:00 (CET/CEST)","5351","0"
"03.01.2021 14:00 - 03.01.2021 15:00 (CET/CEST)","5162","0"
"03.01.2021 15:00 - 03.01.2021 16:00 (CET/CEST)","5053","0"
"03.01.2021 16:00 - 03.01.2021 17:00 (CET/CEST)","5275","0"
"03.01.2021 17:00 - 03.01.2021 18:00 (CET/CEST)","5634","0"
"03.01.2021 18:00 - 03.01.2021 19:00 (CET/CEST)","5713","0"
"03.01.2021 19:00 - 03.01.2021 20:00 (CET/CEST)","5522","0"
"03.01.2021 20:00 - 03.01.2021 21:00 (CET/CEST)","5303","0"
"03.01.2021 21:00 - 03.01.2021 22:00 (CET/CEST)","4865","0"
"03.01.2021 22:00 - 03.01.2021 23:00 (CET/CEST)","4569","0"
"03.01.2021 23:00 - 04.01.2021 00:00 (CET/CEST)","4254","0"
"04.01.2021 00:00 - 04.01.2021 01:00 (CET/CEST)","3898","0"
"04.01.2021 01:00 - 04.01.2021 02:00 (CET/CEST)","3751","0"
"04.01.2021 02:00 - 04.01.2021 03:00 (CET/CEST)","3639","0"
"04.01.2021 03:00 - 04.01.2021 04:00 (CET/CEST)","3542","0"
"04.01.2021 04:00 - 04.01.2021 05:00 (CET/CEST)","3599","0"
"04.01.2021 05:00 - 04.01.2021 06:00 (CET/CEST)","3671","0"
"04.01.2021 06:00 - 04.01.2021 07:00 (CET/CEST)","4341","0"
"04.01.2021 07:00 - 04.01.2021 08:00 (CET/CEST)","4854","0"
"04.01.2021 08:00 - 04.01.2021 09:00 (CET/CEST)","5174","0"
"04.01.2021 09:00 - 04.01.2021 10:00 (CET/CEST)","5480","0"
"04.01.2021 10:00 - 04.01.2021 11:00 (CET/CEST)","5426","0"
"04.01.2021 11:00 - 04.01.2021 12:00 (CET/CEST)","5983","0"
"04.01.2021 12:00 - 04.01.2021 13:00 (CET/CEST)","5949","0"
"04.01.2021 13:00 - 04.01.2021 14:00 (CET/CEST)","5686","0"
"04.01.2021 14:00 - 04.01.2021 15:00 (CET/CEST)","5647","0"
"04.01.2021 15:00 - 04.01.2021 16:00 (CET/CEST)","5646","0"
"04.01.2021 16:00 - 04.01.2021 17:00 (CET/CEST)","6053","0"
"04.01.2021 17:00 - 04.01.2021 18:00 (CET/CEST)","7285","0"
"04.01.2021 18:00 - 04.01.2021 19:00 (CET/CEST)","6670","0"
"04.01.2021 19:00 - 04.01.2021 20:00 (CET/CEST)","5485","0"
"04.01.2021 20:00 - 04.01.2021 21:00 (CET/CEST)","4940","0"
"04.01.2021 21:00 - 04.01.2021 22:00 (CET/CEST)","4744","0"
"04.01.2021 22:00 - 04.01.2021 23:00 (CET/CEST)","4570","0"
"04.01.2021 23:00 - 05.01.2021 00:00 (CET/CEST)","4542","0"
