"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2022 00:00 - 01.01.2022 01:00 (CET/CEST)","6615","0"
"01.01.2022 01:00 - 01.01.2022 02:00 (CET/CEST)","6776","0"
"01.01.2022 02:00 - 01.01.2022 03:00 (CET/CEST)","6826","0"
"01.01.2022 03:00 - 01.01.2022 04:00 (CET/CEST)","6836","0"
"01.01.2022 04:00 - 01.01.2022 05:00 (CET/CEST)","6842","0"
"01.01.2022 05:00 - 01.01.2022 06:00 (CET/CEST)","6773","0"
"01.01.2022 06:00 - 01.01.2022 07:00 (CET/CEST)","6862","0"
"01.01.2022 07:00 - 01.01.2022 08:00 (CET/CEST)","6850","0"
"01.01.2022 08:00 - 01.01.2022 09:00 (CET/CEST)","6889","0"
"01.01.2022 09:00 - 01.01.2022 10:00 (CET/CEST)","6923","0"
"01.01.2022 10:00 - 01.01.2022 11:00 (CET/CEST)","6884","0"
"01.01.2022 11:00 - 01.01.2022 12:00 (CET/CEST)","6826","0"
"01.01.2022 12:00 - 01.01.2022 13:00 (CET/CEST)","6940","0"
"01.01.2022 13:00 - 01.01.2022 14:00 (CET/CEST)","6641","0"
"01.01.2022 14:00 - 01.01.2022 15:00 (CET/CEST)","6333","0"
"01.01.2022 15:00 - 01.01.2022 16:00 (CET/CEST)","6136","0"
"01.01.2022 16:00 - 01.01.2022 17:00 (CET/CEST)","6289","0"
"01.01.2022 17:00 - 01.01.2022 18:00 (CET/CEST)","6474","0"
"01.01.2022 18:00 - 01.01.2022 19:00 (CET/CEST)","6431","0"
"01.01.2022 19:00 - 01.01.2022 20:00 (CET/CEST)","6204","0"
"01.01.2022 20:00 - 01.01.2022 21:00 (CET/CEST)","5798","0"
"01.01.2022 21:00 - 01.01.2022 22:00 (CET/CEST)","5495","0"
"01.01.2022 22:00 - 01.01.2022 23:00 (CET/CEST)","5183","0"
"01.01.2022 23:00 - 02.01.2022 00:00 (CET/CEST)","4761","0"
"02.01.2022 00:00 - 02.01.2022 01:00 (CET/CEST)","4264","0"
"02.01.2022 01:00 - 02.01.2022 02:00 (CET/CEST)","4169","0"
"02.01.2022 02:00 - 02.01.2022 03:00 (CET/CEST)","4169","0"
"02.01.2022 03:00 - 02.01.2022 04:00 (CET/CEST)","4202","0"
"02.01.2022 04:00 - 02.01.2022 05:00 (CET/CEST)","4286","0"
"02.01.2022 05:00 - 02.01.2022 06:00 (CET/CEST)","4435","0"
"02.01.2022 06:00 - 02.01.2022 07:00 (CET/CEST)","4667","0"
"02.01.2022 07:00 - 02.01.2022 08:00 (CET/CEST)","4819","0"
