"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2015 00:00 - 01.01.2015 01:00 (CET/CEST)","3407","0"
"01.01.2015 01:00 - 01.01.2015 02:00 (CET/CEST)","3227","0"
"01.01.2015 02:00 - 01.01.2015 03:00 (CET/CEST)","3076","0"
"01.01.2015 03:00 - 01.01.2015 04:00 (CET/CEST)","2963","0"
"01.01.2015 04:00 - 01.01.2015 05:00 (CET/CEST)","2983","0"
"01.01.2015 05:00 - 01.01.2015 06:00 (CET/CEST)","3067","0"
"01.01.2015 06:00 - 01.01.2015 07:00 (CET/CEST)","3160","0"
"01.01.2015 07:00 - 01.01.2015 08:00 (CET/CEST)","3431","0"
"01.01.2015 08:00 - 01.01.2015 09:00 (CET/CEST)","3631","0"
"01.01.2015 09:00 - 01.01.2015 10:00 (CET/CEST)","3788","0"
"01.01.2015 10:00 - 01.01.2015 11:00 (CET/CEST)","3940","0"
"01.01.2015 11:00 - 01.01.2015 12:00 (CET/CEST)","3978","0"
"01.01.2015 12:00 - 01.01.2015 13:00 (CET/CEST)","4040","0"
"01.01.2015 13:00 - 01.01.2015 14:00 (CET/CEST)","3934","0"
"01.01.2015 14:00 - 01.01.2015 15:00 (CET/CEST)","3926","0"
"01.01.2015 15:00 - 01.01.2015 16:00 (CET/CEST)","3832","0"
"01.01.2015 16:00 - 01.01.2015 17:00 (CET/CEST)","4098","0"
"01.01.2015 17:00 - 01.01.2015 18:00 (CET/CEST)","4950","0"
"01.01.2015 18:00 - 01.01.2015 19:00 (CET/CEST)","5473","0"
"01.01.2015 19:00 - 01.01.2015 20:00 (CET/CEST)","4525","0"
"01.01.2015 20:00 - 01.01.2015 21:00 (CET/CEST)","4501","0"
"01.01.2015 21:00 - 01.01.2015 22:00 (CET/CEST)","4187","0"
"01.01.2015 22:00 - 01.01.2015 23:00 (CET/CEST)","3984","0"
"01.01.2015 23:00 - 02.01.2015 00:00 (CET/CEST)","3782","0"
"02.01.2015 00:00 - 02.01.2015 01:00 (CET/CEST)","3289","0"
"02.01.2015 01:00 - 02.01.2015 02:00 (CET/CEST)","3061","0"
"02.01.2015 02:00 - 02.01.2015 03:00 (CET/CEST)","3010","0"
"02.01.2015 03:00 - 02.01.2015 04:00 (CET/CEST)","2991","0"
"02.01.2015 04:00 - 02.01.2015 05:00 (CET/CEST)","2996","0"
"02.01.2015 05:00 - 02.01.2015 06:00 (CET/CEST)","3020","0"
"02.01.2015 06:00 - 02.01.2015 07:00 (CET/CEST)","3104","0"
"02.01.2015 07:00 - 02.01.2015 08:00 (CET/CEST)","3411","0"
"02.01.2015 08:00 - 02.01.2015 09:00 (CET/CEST)","3560","0"
"02.01.2015 09:00 - 02.01.2015 10:00 (CET/CEST)","3618","0"
"02.01.2015 10:00 - 02.01.2015 11:00 (CET/CEST)","3687","0"
"02.01.2015 11:00 - 02.01.2015 12:00 (CET/CEST)","3704","0"
"02.01.2015 12:00 - 02.01.2015 13:00 (CET/CEST)","3708","0"
"02.01.2015 13:00 - 02.01.2015 14:00 (CET/CEST)","3698","0"
"02.01.2015 14:00 - 02.01.2015 15:00 (CET/CEST)","3711","0"
"02.01.2015 15:00 - 02.01.2015 16:00 (CET/CEST)","3806","0"
"02.01.2015 16:00 - 02.01.2015 17:00 (CET/CEST)","4032","0"
"02.01.2015 17:00 - 02.01.2015 18:00 (CET/CEST)","4578","0"
