"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"04.01.2018 06:00 - 04.01.2018 07:00 (CET/CEST)","6001","0"
"04.01.2018 07:00 - 04.01.2018 08:00 (CET/CEST)","6783","0"
"04.01.2018 08:00 - 04.01.2018 09:00 (CET/CEST)","7975","0"
"04.01.2018 09:00 - 04.01.2018 10:00 (CET/CEST)","8083","0"
"04.01.2018 10:00 - 04.01.2018 11:00 (CET/CEST)","8316","0"
"04.01.2018 11:00 - 04.01.2018 12:00 (CET/CEST)","8865","0"
"04.01.2018 12:00 - 04.01.2018 13:00 (CET/CEST)","8435","0"
"04.01.2018 13:00 - 04.01.2018 14:00 (CET/CEST)","8301","0"
"04.01.2018 14:00 - 04.01.2018 15:00 (CET/CEST)","8084","0"
"04.01.2018 15:00 - 04.01.2018 16:00 (CET/CEST)","8306","0"
"04.01.2018 16:00 - 04.01.2018 17:00 (CET/CEST)","8478","0"
"04.01.2018 17:00 - 04.01.2018 18:00 (CET/CEST)","9739","0"
"04.01.2018 18:00 - 04.01.2018 19:00 (CET/CEST)","9605","0"
"04.01.2018 19:00 - 04.01.2018 20:00 (CET/CEST)","8911","0"
"04.01.2018 20:00 - 04.01.2018 21:00 (CET/CEST)","8128","0"
"04.01.2018 21:00 - 04.01.2018 22:00 (CET/CEST)","7472","0"
"04.01.2018 22:00 - 04.01.2018 23:00 (CET/CEST)","6475","0"
"04.01.2018 23:00 - 05.01.2018 00:00 (CET/CEST)","6190","0"
"05.01.2018 00:00 - 05.01.2018 01:00 (CET/CEST)","5896","0"
"05.01.2018 01:00 - 05.01.2018 02:00 (CET/CEST)","5821","0"
"05.01.2018 02:00 - 05.01.2018 03:00 (CET/CEST)","5753","0"
"05.01.2018 03:00 - 05.01.2018 04:00 (CET/CEST)","5678","0"
"05.01.2018 04:00 - 05.01.2018 05:00 (CET/CEST)","5391","0"
"05.01.2018 05:00 - 05.01.2018 06:00 (CET/CEST)","5623","0"
"05.01.2018 06:00 - 05.01.2018 07:00 (CET/CEST)","5687","0"
"05.01.2018 07:00 - 05.01.2018 08:00 (CET/CEST)","6441","0"
"05.01.2018 08:00 - 05.01.2018 09:00 (CET/CEST)","6762","0"
"05.01.2018 09:00 - 05.01.2018 10:00 (CET/CEST)","6944","0"
"05.01.2018 10:00 - 05.01.2018 11:00 (CET/CEST)","7217","0"
