"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2017 00:00 - 01.01.2017 01:00 (CET/CEST)","4251","0"
"01.01.2017 01:00 - 01.01.2017 02:00 (CET/CEST)","3437","0"
"01.01.2017 02:00 - 01.01.2017 03:00 (CET/CEST)","3396","0"
"01.01.2017 03:00 - 01.01.2017 04:00 (CET/CEST)","3360","0"
"01.01.2017 04:00 - 01.01.2017 05:00 (CET/CEST)","3326","0"
"01.01.2017 05:00 - 01.01.2017 06:00 (CET/CEST)","3301","0"
"01.01.2017 06:00 - 01.01.2017 07:00 (CET/CEST)","3258","0"
"01.01.2017 07:00 - 01.01.2017 08:00 (CET/CEST)","3393","0"
"01.01.2017 08:00 - 01.01.2017 09:00 (CET/CEST)","3529","0"
"01.01.2017 09:00 - 01.01.2017 10:00 (CET/CEST)","3662","0"
"01.01.2017 10:00 - 01.01.2017 11:00 (CET/CEST)","3749","0"
"01.01.2017 11:00 - 01.01.2017 12:00 (CET/CEST)","3752","0"
"01.01.2017 12:00 - 01.01.2017 13:00 (CET/CEST)","3740","0"
"01.01.2017 13:00 - 01.01.2017 14:00 (CET/CEST)","3736","0"
"01.01.2017 14:00 - 01.01.2017 15:00 (CET/CEST)","3807","0"
"01.01.2017 15:00 - 01.01.2017 16:00 (CET/CEST)","4175","0"
"01.01.2017 16:00 - 01.01.2017 17:00 (CET/CEST)","4503","0"
"01.01.2017 17:00 - 01.01.2017 18:00 (CET/CEST)","5467","0"
"01.01.2017 18:00 - 01.01.2017 19:00 (CET/CEST)","6099","0"
"01.01.2017 19:00 - 01.01.2017 20:00 (CET/CEST)","5310","0"
"01.01.2017 20:00 - 01.01.2017 21:00 (CET/CEST)","4486","0"
"01.01.2017 21:00 - 01.01.2017 22:00 (CET/CEST)","4066","0"
"01.01.2017 22:00 - 01.01.2017 23:00 (CET/CEST)","3986","0"
"01.01.2017 23:00 - 02.01.2017 00:00 (CET/CEST)","3609","0"
"02.01.2017 00:00 - 02.01.2017 01:00 (CET/CEST)","4005","0"
"02.01.2017 01:00 - 02.01.2017 02:00 (CET/CEST)","3456","0"
"02.01.2017 02:00 - 02.01.2017 03:00 (CET/CEST)","3443","0"
"02.01.2017 03:00 - 02.01.2017 04:00 (CET/CEST)","3422","0"
"02.01.2017 04:00 - 02.01.2017 05:00 (CET/CEST)","3498","0"
"02.01.2017 05:00 - 02.01.2017 06:00 (CET/CEST)","3656","0"
"02.01.2017 06:00 - 02.01.2017 07:00 (CET/CEST)","4201","0"
"02.01.2017 07:00 - 02.01.2017 08:00 (CET/CEST)","4879","0"
"02.01.2017 08:00 - 02.01.2017 09:00 (CET/CEST)","6045","0"
"02.01.2017 09:00 - 02.01.2017 10:00 (CET/CEST)","6423","0"
"02.01.2017 10:00 - 02.01.2017 11:00 (CET/CEST)","6255","0"
"02.01.2017 11:00 - 02.01.2017 12:00 (CET/CEST)","6458","0"
"02.01.2017 12:00 - 02.01.2017 13:00 (CET/CEST)","6412","0"
"02.01.2017 13:00 - 02.01.2017 14:00 (CET/CEST)","6837","0"
"02.01.2017 14:00 - 02.01.2017 15:00 (CET/CEST)","7363","0"
"02.01.2017 15:00 - 02.01.2017 16:00 (CET/CEST)","7815","0"
"02.01.2017 16:00 - 02.01.2017 17:00 (CET/CEST)","8428","0"
"02.01.2017 17:00 - 02.01.2017 18:00 (CET/CEST)","9147","0"
"02.01.2017 18:00 - 02.01.2017 19:00 (CET/CEST)","8327","0"
"02.01.2017 19:00 - 02.01.2017 20:00 (CET/CEST)","7573","0"
"02.01.2017 20:00 - 02.01.2017 21:00 (CET/CEST)","6361","0"
"02.01.2017 21:00 - 02.01.2017 22:00 (CET/CEST)","6016","0"
"02.01.2017 22:00 - 02.01.2017 23:00 (CET/CEST)","6011","0"
"02.01.2017 23:00 - 03.01.2017 00:00 (CET/CEST)","5327","0"
"03.01.2017 00:00 - 03.01.2017 01:00 (CET/CEST)","5542","0"
"03.01.2017 01:00 - 03.01.2017 02:00 (CET/CEST)","5235","0"
"03.01.2017 02:00 - 03.01.2017 03:00 (CET/CEST)","5017","0"
"03.01.2017 03:00 - 03.01.2017 04:00 (CET/CEST)","4881","0"
"03.01.2017 04:00 - 03.01.2017 05:00 (CET/CEST)","4795","0"
"03.01.2017 05:00 - 03.01.2017 06:00 (CET/CEST)","4694","0"
"03.01.2017 06:00 - 03.01.2017 07:00 (CET/CEST)","5111","0"
"03.01.2017 07:00 - 03.01.2017 08:00 (CET/CEST)","6280","0"
"03.01.2017 08:00 - 03.01.2017 09:00 (CET/CEST)","7031","0"
"03.01.2017 09:00 - 03.01.2017 10:00 (CET/CEST)","7247","0"
"03.01.2017 10:00 - 03.01.2017 11:00 (CET/CEST)","6701","0"
"03.01.2017 11:00 - 03.01.2017 12:00 (CET/CEST)","6728","0"
"03.01.2017 12:00 - 03.01.2017 13:00 (CET/CEST)","6891","0"
"03.01.2017 13:00 - 03.01.2017 14:00 (CET/CEST)","6792","0"
"03.01.2017 14:00 - 03.01.2017 15:00 (CET/CEST)","6478","0"
"03.01.2017 15:00 - 03.01.2017 16:00 (CET/CEST)","6341","0"
"03.01.2017 16:00 - 03.01.2017 17:00 (CET/CEST)","6817","0"
"03.01.2017 17:00 - 03.01.2017 18:00 (CET/CEST)","7216","0"
"03.01.2017 18:00 - 03.01.2017 19:00 (CET/CEST)","6931","0"
"03.01.2017 19:00 - 03.01.2017 20:00 (CET/CEST)","6682","0"
"03.01.2017 20:00 - 03.01.2017 21:00 (CET/CEST)","6368","0"
"03.01.2017 21:00 - 03.01.2017 22:00 (CET/CEST)","5965","0"
"03.01.2017 22:00 - 03.01.2017 23:00 (CET/CEST)","5716","0"
"03.01.2017 23:00 - 04.01.2017 00:00 (CET/CEST)","5497","0"
"04.01.2017 00:00 - 04.01.2017 01:00 (CET/CEST)","5879","0"
"04.01.2017 01:00 - 04.01.2017 02:00 (CET/CEST)","5405","0"
"04.01.2017 02:00 - 04.01.2017 03:00 (CET/CEST)","5266","0"
"04.01.2017 03:00 - 04.01.2017 04:00 (CET/CEST)","5243","0"
"04.01.2017 04:00 - 04.01.2017 05:00 (CET/CEST)","5320","0"
