"MTU","Scheduled Generation [MW] (D) - Austria (AT)","Scheduled Consumption [MW] (D) - Austria (AT)"
"01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","6942","0"
"01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","6498","0"
"01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","6183","0"
"01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","5275","0"
"01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","5001","0"
"01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","4989","0"
"01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","5035","0"
"01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","5076","0"
"01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","5307","0"
"01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","5264","0"
"01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","5220","0"
"01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","5175","0"
"01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","5148","0"
"01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","5079","0"
"01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","5029","0"
"01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","5102","0"
"01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","5265","0"
"01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","5639","0"
"01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","6871","0"
"01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","6858","0"
"01.01.2020 20:00 - 01.01.2020 21:00 (CET/CEST)","5928","0"
"01.01.2020 21:00 - 01.01.2020 22:00 (CET/CEST)","5169","0"
"01.01.2020 22:00 - 01.01.2020 23:00 (CET/CEST)","5044","0"
"01.01.2020 23:00 - 02.01.2020 00:00 (CET/CEST)","4668","0"
"02.01.2020 00:00 - 02.01.2020 01:00 (CET/CEST)","4588","0"
"02.01.2020 01:00 - 02.01.2020 02:00 (CET/CEST)","4372","0"
"02.01.2020 02:00 - 02.01.2020 03:00 (CET/CEST)","4186","0"
"02.01.2020 03:00 - 02.01.2020 04:00 (CET/CEST)","3955","0"
"02.01.2020 04:00 - 02.01.2020 05:00 (CET/CEST)","4009","0"
"02.01.2020 05:00 - 02.01.2020 06:00 (CET/CEST)","4431","0"
"02.01.2020 06:00 - 02.01.2020 07:00 (CET/CEST)","4710","0"
"02.01.2020 07:00 - 02.01.2020 08:00 (CET/CEST)","5697","0"
"02.01.2020 08:00 - 02.01.2020 09:00 (CET/CEST)","6591","0"
"02.01.2020 09:00 - 02.01.2020 10:00 (CET/CEST)","7061","0"
"02.01.2020 10:00 - 02.01.2020 11:00 (CET/CEST)","6946","0"
"02.01.2020 11:00 - 02.01.2020 12:00 (CET/CEST)","6887","0"
"02.01.2020 12:00 - 02.01.2020 13:00 (CET/CEST)","6718","0"
"02.01.2020 13:00 - 02.01.2020 14:00 (CET/CEST)","6352","0"
"02.01.2020 14:00 - 02.01.2020 15:00 (CET/CEST)","6283","0"
"02.01.2020 15:00 - 02.01.2020 16:00 (CET/CEST)","6669","0"
"02.01.2020 16:00 - 02.01.2020 17:00 (CET/CEST)","7131","0"
"02.01.2020 17:00 - 02.01.2020 18:00 (CET/CEST)","8326","0"
"02.01.2020 18:00 - 02.01.2020 19:00 (CET/CEST)","8440","0"
"02.01.2020 19:00 - 02.01.2020 20:00 (CET/CEST)","7704","0"
"02.01.2020 20:00 - 02.01.2020 21:00 (CET/CEST)","6483","0"
"02.01.2020 21:00 - 02.01.2020 22:00 (CET/CEST)","5640","0"
"02.01.2020 22:00 - 02.01.2020 23:00 (CET/CEST)","5213","0"
"02.01.2020 23:00 - 03.01.2020 00:00 (CET/CEST)","4728","0"
"03.01.2020 00:00 - 03.01.2020 01:00 (CET/CEST)","4714","0"
"03.01.2020 01:00 - 03.01.2020 02:00 (CET/CEST)","4466","0"
"03.01.2020 02:00 - 03.01.2020 03:00 (CET/CEST)","4325","0"
"03.01.2020 03:00 - 03.01.2020 04:00 (CET/CEST)","4350","0"
"03.01.2020 04:00 - 03.01.2020 05:00 (CET/CEST)","4404","0"
"03.01.2020 05:00 - 03.01.2020 06:00 (CET/CEST)","4558","0"
"03.01.2020 06:00 - 03.01.2020 07:00 (CET/CEST)","4864","0"
"03.01.2020 07:00 - 03.01.2020 08:00 (CET/CEST)","5671","0"
